,WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY,DESCRIPTION,CATEGORY,SUB_CATEGORY
92,2009-04-15,367,1111085350,25,17,17,50.0,2.0,2.39,0,0,1,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
93,2009-04-15,367,1600027527,18,18,18,57.42,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
94,2009-04-15,367,1600027528,28,24,13,128.52,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
95,2009-04-15,367,1600027564,20,16,15,57.4,2.87,2.87,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
96,2009-04-15,367,3000006340,10,10,8,27.4,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
97,2009-04-15,367,3800031829,15,12,6,47.1,3.14,3.14,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
98,2009-04-22,367,1111085319,6,5,5,11.34,1.89,1.89,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
99,2009-04-22,367,1111085350,15,12,12,29.85,1.99,2.39,0,0,1,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
100,2009-04-22,367,1600027527,14,14,14,44.66,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
101,2009-04-22,367,1600027528,25,17,9,114.75,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
102,2009-04-22,367,1600027564,16,15,13,47.84,2.99,2.99,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
103,2009-04-22,367,3000006340,9,11,5,24.66,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
104,2009-04-22,367,3800031829,19,15,6,62.51,3.29,3.29,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
105,2009-04-29,367,1111085319,14,14,14,26.46,1.89,1.89,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
106,2009-04-29,367,1111085350,16,13,13,32.32,2.02,2.39,0,0,1,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
107,2009-04-29,367,1600027527,18,16,14,57.42,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
108,2009-04-29,367,1600027528,20,18,11,91.8,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
109,2009-04-29,367,1600027564,25,24,18,79.75,3.19,3.19,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
110,2009-04-29,367,3000006340,4,3,2,10.96,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
111,2009-04-29,367,3800031829,21,16,7,69.09,3.29,3.29,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
112,2009-05-06,367,1111085319,31,28,27,51.46,1.66,1.89,1,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
113,2009-05-06,367,1111085350,21,18,18,41.79,1.99,2.39,1,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
114,2009-05-06,367,1600027527,45,34,34,90.0,2.0,3.19,1,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
115,2009-05-06,367,1600027528,29,25,10,133.11,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
116,2009-05-06,367,1600027564,30,21,13,95.7,3.19,3.19,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
117,2009-05-06,367,3000006340,2,2,1,5.48,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
118,2009-05-06,367,3800031829,32,29,20,90.24,2.82,3.29,0,0,1,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
119,2009-05-13,367,1111085319,24,20,20,40.08,1.67,1.89,0,0,1,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
120,2009-05-13,367,1111085350,13,12,12,26.0,2.0,2.39,0,0,1,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
121,2009-05-13,367,1600027527,17,17,17,54.23,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
122,2009-05-13,367,1600027528,27,21,14,123.93,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
123,2009-05-13,367,1600027564,17,15,13,54.23,3.19,3.19,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
124,2009-05-13,367,3000006340,6,6,2,16.44,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
125,2009-05-13,367,3800031829,75,63,55,163.5,2.18,3.29,1,1,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
126,2009-05-20,367,1111085319,20,19,19,33.2,1.66,1.89,0,0,1,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
127,2009-05-20,367,1111085350,15,13,13,34.5,2.3,2.3,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
128,2009-05-20,367,1600027527,12,12,12,31.92,2.66,3.19,0,0,1,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
129,2009-05-20,367,1600027528,14,12,8,64.26,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
130,2009-05-20,367,1600027564,76,67,61,177.84,2.34,3.19,1,1,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
131,2009-05-20,367,3000006340,4,4,1,10.96,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
132,2009-05-20,367,3800031829,66,53,43,176.22,2.67,3.29,0,1,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
133,2009-05-27,367,1111085319,22,21,20,36.3,1.65,1.89,0,0,1,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
134,2009-05-27,367,1111085350,8,7,7,18.32,2.29,2.29,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
135,2009-05-27,367,1600027527,17,17,16,47.77,2.81,3.19,0,0,1,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
136,2009-05-27,367,1600027528,36,27,7,165.24,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
137,2009-05-27,367,1600027564,27,25,18,70.2,2.6,3.19,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
138,2009-05-27,367,3000006340,5,5,3,12.8,2.56,2.74,1,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
139,2009-05-27,367,3800031829,18,16,8,59.22,3.29,3.29,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
140,2009-06-03,367,1111085319,23,21,21,37.72,1.64,1.89,0,0,1,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
141,2009-06-03,367,1111085350,15,12,12,35.85,2.39,2.39,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
142,2009-06-03,367,1600027527,13,13,13,31.85,2.45,3.19,0,0,1,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
143,2009-06-03,367,1600027528,24,22,10,110.16,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
144,2009-06-03,367,1600027564,24,23,18,60.72,2.53,3.19,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
145,2009-06-03,367,3000006340,4,4,3,10.08,2.52,2.74,1,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
146,2009-06-03,367,3800031829,32,28,12,105.28,3.29,3.29,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
147,2009-06-10,367,1111085319,41,33,32,68.06,1.66,1.89,0,0,1,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
148,2009-06-10,367,1111085350,22,17,17,51.26,2.33,2.33,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
149,2009-06-10,367,1600027527,16,16,14,51.04,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
150,2009-06-10,367,1600027528,29,24,15,133.11,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
151,2009-06-10,367,1600027564,29,25,19,75.98,2.62,3.19,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
152,2009-06-10,367,3000006340,4,4,3,10.96,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
153,2009-06-10,367,3800031829,21,20,10,69.09,3.29,3.29,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
154,2009-06-17,367,1111085319,34,32,31,56.78,1.67,1.89,0,0,1,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
155,2009-06-17,367,1111085350,14,11,11,33.18,2.37,2.37,0,0,0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
156,2009-06-17,367,1600027527,12,12,12,34.68,2.89,2.89,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
157,2009-06-17,367,1600027528,24,19,12,110.16,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
158,2009-06-17,367,1600027564,14,14,13,41.72,2.98,2.98,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
159,2009-06-17,367,3000006340,1,1,1,2.74,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
160,2009-06-17,367,3800031829,13,12,9,42.77,3.29,3.29,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
161,2009-06-24,367,1111085319,18,15,15,34.02,1.89,1.89,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
162,2009-06-24,367,1111085350,37,29,28,73.63,1.99,2.37,0,0,1,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
163,2009-06-24,367,1600027527,15,14,13,47.85,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
164,2009-06-24,367,1600027528,20,18,12,91.8,4.59,4.59,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
165,2009-06-24,367,1600027564,16,16,14,38.24,2.39,2.98,0,0,1,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
166,2009-06-24,367,3000006340,3,3,2,8.22,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
167,2009-06-24,367,3800031829,23,19,8,75.67,3.29,3.29,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
168,2009-07-01,367,1111085319,12,11,11,22.68,1.89,1.89,0,0,0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL
169,2009-07-01,367,1111085350,40,31,31,80.0,2.0,2.37,0,0,1,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL
170,2009-07-01,367,1600027527,15,15,13,47.85,3.19,3.19,0,0,0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
171,2009-07-01,367,1600027528,148,106,90,414.4,2.8,4.59,1,1,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
172,2009-07-01,367,1600027564,26,20,7,79.82,3.07,3.07,0,0,0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL
173,2009-07-01,367,3000006340,9,9,2,24.66,2.74,2.74,0,0,0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL
174,2009-07-01,367,3800031829,34,25,7,111.86,3.29,3.29,0,0,0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL
