,WEEK_END_DATE,STORE_NUM,UPC,UNITS,VISITS,HHS,SPEND,PRICE,BASE_PRICE,FEATURE,DISPLAY,TPR_ONLY,Desc,Category,Sub-Category,SUMPRICE,COUNTPRICE,AVGPRICE,RELPRICE
18715,2009-02-25,367.0,1600027564,24.0,22.0,20.0,63.84,2.66,3.19,0.0,0.0,1.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,18.81,7,2.687142857142857,0.9898989898989901
18717,2009-02-25,367.0,3000006340,3.0,3.0,2.0,8.22,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,18.81,7,2.687142857142857,1.0196703880914408
18722,2009-02-25,367.0,3800031829,17.0,13.0,7.0,53.38,3.14,3.14,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,18.81,7,2.687142857142857,1.168527379053695
21732,2009-03-04,367.0,1111085319,2.0,2.0,2.0,3.22,1.61,1.87,0.0,0.0,1.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,18.63,7,2.6614285714285715,0.6049382716049383
21734,2009-03-04,367.0,1111085350,15.0,15.0,15.0,35.4,2.36,2.36,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,18.63,7,2.6614285714285715,0.8867418142780461
21738,2009-03-04,367.0,1600027527,32.0,26.0,26.0,55.04,1.72,3.19,0.0,1.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,18.63,7,2.6614285714285715,0.6462694578636607
21739,2009-03-04,367.0,1600027528,24.0,23.0,17.0,110.16,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,18.63,7,2.6614285714285715,1.7246376811594202
21740,2009-03-04,367.0,1600027564,22.0,19.0,17.0,54.34,2.47,3.19,0.0,0.0,1.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,18.63,7,2.6614285714285715,0.9280730005367687
21742,2009-03-04,367.0,3000006340,7.0,6.0,4.0,19.18,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,18.63,7,2.6614285714285715,1.0295222758990876
21746,2009-03-04,367.0,3800031829,31.0,25.0,6.0,97.34,3.14,3.14,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,18.63,7,2.6614285714285715,1.1798174986580785
24742,2009-03-11,367.0,1111085319,32.0,25.0,25.0,52.8,1.65,1.87,0.0,0.0,1.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.189999999999998,7,2.884285714285714,0.5720653789004458
24744,2009-03-11,367.0,1111085350,22.0,15.0,15.0,52.36,2.38,2.38,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.189999999999998,7,2.884285714285714,0.8251609707776127
24748,2009-03-11,367.0,1600027527,18.0,18.0,18.0,54.18,3.01,3.01,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.189999999999998,7,2.884285714285714,1.0435859336305102
24749,2009-03-11,367.0,1600027528,16.0,15.0,9.0,73.44,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.189999999999998,7,2.884285714285714,1.5913818722139674
24750,2009-03-11,367.0,1600027564,31.0,29.0,24.0,83.08,2.68,3.19,0.0,0.0,1.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.189999999999998,7,2.884285714285714,0.9291728578504211
24752,2009-03-11,367.0,3000006340,9.0,9.0,4.0,24.66,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.189999999999998,7,2.884285714285714,0.9499752352649828
24757,2009-03-11,367.0,3800031829,34.0,28.0,14.0,106.76,3.14,3.14,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.189999999999998,7,2.884285714285714,1.0886577513620606
27826,2009-03-18,367.0,1111085319,19.0,18.0,18.0,31.54,1.66,1.87,0.0,0.0,1.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.14,7,2.8771428571428572,0.576961271102284
27828,2009-03-18,367.0,1111085350,17.0,16.0,16.0,40.12,2.36,2.36,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.14,7,2.8771428571428572,0.8202581926514398
27832,2009-03-18,367.0,1600027527,18.0,17.0,17.0,54.36,3.02,3.02,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.14,7,2.8771428571428572,1.0496524329692154
27833,2009-03-18,367.0,1600027528,16.0,13.0,8.0,73.44,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.14,7,2.8771428571428572,1.5953326713008937
27834,2009-03-18,367.0,1600027564,39.0,31.0,25.0,118.17,3.03,3.03,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.14,7,2.8771428571428572,1.0531281032770605
27836,2009-03-18,367.0,3000006340,6.0,6.0,5.0,16.44,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.14,7,2.8771428571428572,0.9523336643495531
27839,2009-03-18,367.0,3800031829,29.0,24.0,15.0,79.46,2.74,3.14,1.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.14,7,2.8771428571428572,0.9523336643495531
30922,2009-03-25,367.0,1111085319,29.0,27.0,25.0,47.56,1.64,1.87,0.0,0.0,1.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,19.79,7,2.827142857142857,0.5800909550277918
30924,2009-03-25,367.0,1111085350,15.0,13.0,13.0,35.85,2.39,2.39,0.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,19.79,7,2.827142857142857,0.8453764527539163
30928,2009-03-25,367.0,1600027527,8.0,7.0,7.0,22.72,2.84,2.84,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.79,7,2.827142857142857,1.0045477513895906
30929,2009-03-25,367.0,1600027528,28.0,26.0,13.0,128.52,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.79,7,2.827142857142857,1.623547246083881
30930,2009-03-25,367.0,1600027564,28.0,26.0,21.0,76.44,2.73,2.73,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.79,7,2.827142857142857,0.9656392117230925
30932,2009-03-25,367.0,3000006340,7.0,7.0,5.0,19.18,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,19.79,7,2.827142857142857,0.9691763516927743
30936,2009-03-25,367.0,3800031829,30.0,26.0,13.0,85.8,2.86,3.14,1.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,19.79,7,2.827142857142857,1.0116220313289541
34026,2009-04-01,367.0,1111085319,12.0,12.0,12.0,22.56,1.88,1.88,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,19.220000000000002,7,2.745714285714286,0.6847034339229968
34028,2009-04-01,367.0,1111085350,21.0,16.0,16.0,42.0,2.0,2.39,0.0,0.0,1.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,19.220000000000002,7,2.745714285714286,0.72840790842872
34032,2009-04-01,367.0,1600027527,7.0,7.0,7.0,15.96,2.28,2.84,0.0,0.0,1.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.220000000000002,7,2.745714285714286,0.8303850156087408
34033,2009-04-01,367.0,1600027528,26.0,23.0,13.0,119.34,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.220000000000002,7,2.745714285714286,1.6716961498439125
34034,2009-04-01,367.0,1600027564,28.0,26.0,20.0,82.88,2.96,2.96,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.220000000000002,7,2.745714285714286,1.0780437044745057
34036,2009-04-01,367.0,3000006340,10.0,10.0,6.0,26.2,2.62,2.62,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,19.220000000000002,7,2.745714285714286,0.9542143600416233
34041,2009-04-01,367.0,3800031829,37.0,31.0,14.0,106.93,2.89,2.89,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,19.220000000000002,7,2.745714285714286,1.0525494276795004
37099,2009-04-08,367.0,1111085319,16.0,15.0,15.0,30.08,1.88,1.88,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,19.93,7,2.847142857142857,0.6603110888108379
37101,2009-04-08,367.0,1111085350,21.0,18.0,18.0,41.16,1.96,2.39,0.0,0.0,1.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,19.93,7,2.847142857142857,0.6884094330155545
37105,2009-04-08,367.0,1600027527,19.0,19.0,19.0,54.53,2.87,2.87,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.93,7,2.847142857142857,1.0080280983442047
37106,2009-04-08,367.0,1600027528,18.0,13.0,8.0,82.62,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.93,7,2.847142857142857,1.6121424987456097
37107,2009-04-08,367.0,1600027564,39.0,32.0,25.0,114.66,2.94,2.94,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,19.93,7,2.847142857142857,1.0326141495233316
37109,2009-04-08,367.0,3000006340,24.0,19.0,16.0,61.2,2.55,2.62,1.0,1.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,19.93,7,2.847142857142857,0.8956347215253386
37113,2009-04-08,367.0,3800031829,29.0,25.0,14.0,91.06,3.14,3.14,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,19.93,7,2.847142857142857,1.1028600100351231
40184,2009-04-15,367.0,1111085319,17.0,15.0,15.0,32.13,1.89,1.89,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.42,7,2.9171428571428573,0.647894221351616
40186,2009-04-15,367.0,1111085350,25.0,17.0,17.0,50.0,2.0,2.39,0.0,0.0,1.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.42,7,2.9171428571428573,0.6856023506366308
40190,2009-04-15,367.0,1600027527,18.0,18.0,18.0,57.42,3.19,3.19,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.42,7,2.9171428571428573,1.093535749265426
40191,2009-04-15,367.0,1600027528,28.0,24.0,13.0,128.52,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.42,7,2.9171428571428573,1.5734573947110675
40192,2009-04-15,367.0,1600027564,20.0,16.0,15.0,57.4,2.87,2.87,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.42,7,2.9171428571428573,0.9838393731635652
40194,2009-04-15,367.0,3000006340,10.0,10.0,8.0,27.4,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.42,7,2.9171428571428573,0.9392752203721841
40198,2009-04-15,367.0,3800031829,15.0,12.0,6.0,47.1,3.14,3.14,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.42,7,2.9171428571428573,1.0763956904995102
43255,2009-04-22,367.0,1111085319,6.0,5.0,5.0,11.34,1.89,1.89,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.68,7,2.954285714285714,0.6397485493230174
43257,2009-04-22,367.0,1111085350,15.0,12.0,12.0,29.85,1.99,2.39,0.0,0.0,1.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.68,7,2.954285714285714,0.6735976789168279
43261,2009-04-22,367.0,1600027527,14.0,14.0,14.0,44.66,3.19,3.19,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.68,7,2.954285714285714,1.0797872340425532
43262,2009-04-22,367.0,1600027528,25.0,17.0,9.0,114.75,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.68,7,2.954285714285714,1.5536750483558994
43263,2009-04-22,367.0,1600027564,16.0,15.0,13.0,47.84,2.99,2.99,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.68,7,2.954285714285714,1.0120889748549324
43265,2009-04-22,367.0,3000006340,9.0,11.0,5.0,24.66,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.68,7,2.954285714285714,0.9274661508704063
43270,2009-04-22,367.0,3800031829,19.0,15.0,6.0,62.51,3.29,3.29,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.68,7,2.954285714285714,1.1136363636363638
46372,2009-04-29,367.0,1111085319,14.0,14.0,14.0,26.46,1.89,1.89,0.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,20.909999999999997,7,2.9871428571428567,0.6327116212338595
46374,2009-04-29,367.0,1111085350,16.0,13.0,13.0,32.32,2.02,2.39,0.0,0.0,1.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,20.909999999999997,7,2.9871428571428567,0.6762314681970351
46378,2009-04-29,367.0,1600027527,18.0,16.0,14.0,57.42,3.19,3.19,0.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.909999999999997,7,2.9871428571428567,1.0679100908656147
46379,2009-04-29,367.0,1600027528,20.0,18.0,11.0,91.8,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.909999999999997,7,2.9871428571428567,1.5365853658536588
46380,2009-04-29,367.0,1600027564,25.0,24.0,18.0,79.75,3.19,3.19,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,20.909999999999997,7,2.9871428571428567,1.0679100908656147
46382,2009-04-29,367.0,3000006340,4.0,3.0,2.0,10.96,2.74,2.74,0.0,0.0,0.0,QKER LIFE ORIGINAL,COLD CEREAL,ALL FAMILY CEREAL,20.909999999999997,7,2.9871428571428567,0.9172644667623149
46385,2009-04-29,367.0,3800031829,21.0,16.0,7.0,69.09,3.29,3.29,0.0,0.0,0.0,KELL BITE SIZE MINI WHEAT,COLD CEREAL,ALL FAMILY CEREAL,20.909999999999997,7,2.9871428571428567,1.1013868962219036
49479,2009-05-06,367.0,1111085319,31.0,28.0,27.0,51.46,1.66,1.89,1.0,0.0,0.0,PL HONEY NUT TOASTD OATS,COLD CEREAL,ALL FAMILY CEREAL,18.990000000000002,7,2.712857142857143,0.6119010005265929
49481,2009-05-06,367.0,1111085350,21.0,18.0,18.0,41.79,1.99,2.39,1.0,0.0,0.0,PL BT SZ FRSTD SHRD WHT,COLD CEREAL,ALL FAMILY CEREAL,18.990000000000002,7,2.712857142857143,0.7335439705107951
49485,2009-05-06,367.0,1600027527,45.0,34.0,34.0,90.0,2.0,3.19,1.0,0.0,0.0,GM HONEY NUT CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,18.990000000000002,7,2.712857142857143,0.737230121116377
49486,2009-05-06,367.0,1600027528,29.0,25.0,10.0,133.11,4.59,4.59,0.0,0.0,0.0,GM CHEERIOS,COLD CEREAL,ALL FAMILY CEREAL,18.990000000000002,7,2.712857142857143,1.6919431279620851
