ds,HOBBIES_1_001_CA_1,HOBBIES_1_001_CA_2,HOBBIES_1_001_CA_3,HOBBIES_1_001_CA_4,HOBBIES_1_002_CA_1,HOBBIES_1_004_CA_1,HOBBIES_1_004_CA_2,HOBBIES_1_004_CA_3,HOBBIES_1_004_CA_4,HOBBIES_1_005_CA_1,HOBBIES_1_002_CA_2,HOBBIES_1_002_CA_3,HOBBIES_1_002_CA_4,HOBBIES_1_003_CA_1,HOBBIES_1_003_CA_2,HOBBIES_1_003_CA_3,HOBBIES_1_003_CA_4,HOBBIES_1_005_CA_4,HOBBIES_1_006_CA_4,HOBBIES_1_007_CA_2,HOBBIES_2_016_CA_2,HOBBIES_2_122_CA_2,HOUSEHOLD_2_067_CA_4,HOUSEHOLD_1_133_CA_1,HOUSEHOLD_2_239_CA_4
2013-09-08,5,2,3,5,1,15,38,43,7,12,0,1,0,0,0,0,0,0,0,2,1,0,0,1,14
2013-09-15,1,0,4,5,0,15,22,37,5,8,2,4,3,0,0,0,0,0,0,1,0,1,0,6,11
2013-09-22,6,4,4,2,0,12,28,32,7,10,1,1,3,0,0,0,0,0,0,2,0,1,0,1,7
2013-09-29,1,4,12,4,2,8,18,46,7,10,0,2,0,0,0,0,0,0,0,0,0,0,0,17,13
2013-10-06,5,5,5,4,2,17,35,59,7,4,0,1,0,0,0,0,0,0,0,2,0,0,0,22,6
2013-10-13,3,3,6,6,2,10,34,45,7,9,2,0,3,0,0,0,0,0,0,1,0,3,0,23,12
2013-10-20,2,3,12,1,0,14,30,50,7,10,1,2,0,0,0,0,0,0,0,2,0,4,0,6,6
2013-10-27,4,6,5,4,1,20,28,48,6,3,2,3,0,0,0,0,0,0,0,0,0,4,0,30,8
2013-11-03,4,8,6,5,1,20,20,53,2,7,2,2,1,0,0,0,0,0,0,2,0,0,0,7,9
2013-11-10,6,6,6,2,0,9,28,47,5,3,1,2,1,0,0,0,0,0,0,1,0,0,0,4,10
2013-11-17,5,7,8,6,1,10,20,57,8,1,1,0,0,0,0,0,0,0,0,0,0,3,0,4,13
2013-11-24,3,1,9,3,1,15,30,45,10,9,0,0,2,0,0,0,0,0,0,1,0,4,0,9,5
2013-12-01,6,1,6,5,0,25,30,52,6,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2013-12-08,4,4,9,6,0,16,42,40,15,6,1,2,4,0,0,0,0,0,0,4,0,19,0,7,6
2013-12-15,8,4,3,3,5,19,37,52,5,4,3,1,2,0,0,0,0,0,0,1,0,2,0,8,0
2013-12-22,6,3,10,3,5,14,24,42,4,10,6,4,5,0,0,0,0,0,0,2,0,3,0,3,1
2013-12-29,1,4,8,4,0,20,19,38,4,8,3,1,5,0,0,0,0,0,0,2,0,0,0,2,3
2014-01-05,2,3,5,3,0,16,30,63,9,3,0,1,0,0,0,0,0,0,0,2,0,0,0,6,8
2014-01-12,4,3,12,4,1,14,29,42,6,3,0,0,1,0,0,0,0,0,0,1,0,5,0,3,6
2014-01-19,2,5,5,5,0,9,42,35,7,3,0,0,3,0,0,0,0,0,0,1,0,11,0,9,0
2014-01-26,4,3,2,2,0,18,29,41,4,10,0,4,0,0,0,0,0,0,0,3,0,2,0,12,9
2014-02-02,1,5,5,6,1,14,38,52,6,10,1,0,0,0,0,0,0,0,0,3,0,1,0,5,5
2014-02-09,3,1,7,5,1,17,21,74,9,2,1,1,2,5,1,0,1,0,0,2,0,0,0,3,10
2014-02-16,3,5,6,3,0,14,30,36,11,7,1,3,0,4,2,0,3,0,0,1,0,0,0,2,6
2014-02-23,5,4,6,4,1,21,31,59,3,8,0,2,1,2,0,0,0,0,0,0,0,0,0,0,4
2014-03-02,2,1,5,6,1,10,24,42,3,5,0,1,1,2,0,0,0,0,0,3,0,0,0,7,8
2014-03-09,2,6,7,4,1,28,41,53,4,6,1,0,0,1,1,0,2,0,0,0,0,0,0,3,3
2014-03-16,1,2,7,7,0,13,24,58,10,8,0,0,1,0,1,0,2,0,0,2,0,0,0,1,8
2014-03-23,4,2,9,9,1,12,28,45,12,4,0,1,0,3,0,0,1,0,0,1,0,0,3,5,7
2014-03-30,3,8,4,0,1,20,23,53,8,3,0,3,0,5,0,0,2,0,0,1,0,1,6,3,9
2014-04-06,0,3,4,2,1,16,33,51,6,8,1,2,0,5,0,0,2,0,0,0,0,1,6,7,4
2014-04-13,4,1,4,11,1,17,41,50,3,1,0,0,0,1,1,0,1,0,0,1,0,1,14,4,11
2014-04-20,4,9,4,3,1,15,27,52,8,9,0,1,0,2,2,0,2,0,0,2,0,1,71,6,11
2014-04-27,2,2,5,1,3,15,29,46,7,4,0,1,0,1,0,0,1,0,0,1,0,1,8,7,16
2014-05-04,2,5,4,0,3,21,27,39,4,6,0,0,2,1,3,0,2,0,0,2,0,1,1,4,14
2014-05-11,1,3,8,7,1,12,29,43,3,4,0,4,0,3,0,0,1,0,0,0,0,0,0,2,6
2014-05-18,2,8,0,3,2,21,20,49,9,11,1,0,2,0,0,0,2,0,0,0,0,0,0,2,13
2014-05-25,3,2,0,2,5,14,22,59,7,4,0,3,0,1,2,0,2,0,0,0,0,0,0,7,11
2014-06-01,2,5,7,6,3,25,9,56,3,3,0,2,0,3,0,0,0,0,0,0,0,0,0,4,9
2014-06-08,3,4,0,4,4,9,6,53,5,8,0,2,1,1,0,0,1,0,0,1,0,0,0,10,9
2014-06-15,5,5,4,3,2,17,19,58,6,9,2,1,2,0,0,0,3,0,0,1,0,0,0,1,8
2014-06-22,1,3,4,6,5,13,37,54,6,5,2,0,1,3,1,0,2,0,0,2,0,0,0,5,8
2014-06-29,8,4,2,4,1,25,28,51,6,3,1,3,5,0,0,0,1,0,0,0,0,0,0,5,5
2014-07-06,4,5,5,2,6,21,40,64,8,7,1,0,0,0,2,0,4,0,0,2,0,0,0,2,14
2014-07-13,2,2,5,5,3,21,34,56,4,2,0,2,2,1,0,0,1,0,0,2,2,0,1,12,4
2014-07-20,6,9,6,5,1,15,27,41,5,6,0,4,1,3,1,0,1,0,0,3,0,0,0,2,8
2014-07-27,2,0,4,9,3,17,25,47,11,7,2,4,1,0,3,0,1,0,0,1,1,1,0,20,17
2014-08-03,4,6,4,0,3,12,23,50,7,4,2,1,3,0,2,0,1,0,0,3,0,1,0,17,11
2014-08-10,3,3,3,3,4,17,25,39,3,7,1,2,2,2,0,0,1,0,0,3,0,1,0,19,15
2014-08-17,4,4,3,1,1,17,21,35,3,6,1,2,1,0,0,0,1,0,0,1,0,0,0,6,7
2014-08-24,3,3,5,3,3,14,38,40,6,6,1,0,1,0,0,0,1,0,0,0,0,0,0,18,9
2014-08-31,1,3,2,4,2,23,20,42,5,5,0,5,2,0,0,0,1,0,0,1,1,0,0,4,12
2014-09-07,10,2,3,6,3,19,34,32,9,8,0,0,4,2,2,0,2,0,0,1,0,0,0,1,10
2014-09-14,4,3,2,2,0,16,30,48,8,2,2,2,1,3,0,0,0,0,0,1,0,0,0,3,12
2014-09-21,4,3,0,5,1,14,38,41,3,5,2,3,0,1,0,0,1,0,0,1,0,0,0,8,8
2014-09-28,3,4,2,6,0,7,26,40,6,5,1,3,0,3,0,0,2,0,0,2,0,2,0,19,18
2014-10-05,5,4,0,6,4,12,29,50,5,5,0,3,2,0,0,0,0,0,0,2,1,3,0,242,5
2014-10-12,6,4,2,1,2,12,25,54,4,7,2,2,3,0,0,0,0,0,0,0,1,0,0,6,7
2014-10-19,1,4,6,2,3,10,19,64,4,19,0,2,2,0,1,0,0,0,0,1,1,5,0,4,1
2014-10-26,4,0,3,8,2,12,27,54,4,10,2,3,3,0,0,0,0,0,0,2,0,6,0,3,7
2014-11-02,4,3,5,4,3,19,28,47,13,5,1,4,4,0,2,0,0,0,0,1,0,0,0,1,5
2014-11-09,3,4,6,4,5,16,19,54,4,9,0,4,1,0,0,0,0,0,0,1,1,0,0,2,8
2014-11-16,5,3,3,5,5,30,30,54,10,16,0,2,3,0,2,0,0,0,0,3,0,7,0,7,3
2014-11-23,5,5,7,5,1,25,31,50,4,3,2,1,3,0,0,0,0,0,0,1,0,3,0,2,9
2014-11-30,4,5,3,1,1,15,24,44,5,9,2,4,1,0,0,0,0,0,0,4,0,1,0,3,1
2014-12-07,6,6,3,5,3,22,32,61,5,11,2,4,3,0,0,0,0,0,0,2,0,1,0,5,4
2014-12-14,8,1,3,3,3,18,25,40,9,12,4,4,4,0,0,0,0,0,0,2,0,3,0,2,5
2014-12-21,2,6,4,8,6,17,33,36,7,11,3,5,1,1,0,0,0,0,0,1,0,6,0,2,300
2014-12-28,8,2,3,6,9,18,36,55,5,8,4,11,3,1,0,0,3,0,0,3,2,3,0,1,6
2015-01-04,2,4,2,3,0,13,26,60,10,8,1,1,0,1,1,1,1,0,0,0,0,0,0,7,4
2015-01-11,4,3,6,6,1,17,38,58,9,3,0,1,1,0,1,0,0,0,0,2,1,0,0,10,3
2015-01-18,6,2,4,7,2,13,35,58,9,6,3,5,0,3,0,0,2,0,0,0,1,0,0,0,9
2015-01-25,5,1,3,3,0,25,29,54,5,6,0,0,1,3,1,0,0,0,0,0,0,2,0,8,1
2015-02-01,5,1,4,5,1,15,39,55,6,10,1,1,2,3,1,0,3,0,0,1,0,0,0,1,0
2015-02-08,4,2,6,4,1,19,29,47,4,9,0,3,0,1,0,0,0,0,0,1,0,0,0,5,0
2015-02-15,7,2,3,2,1,10,34,52,5,6,4,2,1,3,0,0,2,0,0,1,2,0,0,7,0
2015-02-22,1,1,7,4,0,28,24,68,11,13,3,0,0,3,0,0,1,0,0,1,3,4,0,2,3
2015-03-01,8,1,8,8,1,11,31,43,8,6,2,0,0,4,0,0,1,0,0,0,0,0,3,2,2
2015-03-08,5,4,2,3,1,19,27,59,9,9,1,0,0,2,2,0,4,0,0,0,1,2,5,5,6
2015-03-15,3,1,6,4,1,7,37,72,8,6,1,0,1,3,0,0,0,0,0,1,0,0,0,6,5
2015-03-22,6,0,6,1,1,20,17,63,4,14,1,1,0,2,1,0,0,6,0,0,1,0,6,1,6
2015-03-29,9,5,8,10,1,17,30,45,0,7,1,0,0,1,1,0,1,8,0,0,0,3,3,1,1
2015-04-05,4,3,5,3,1,15,38,62,3,6,0,3,2,2,0,1,3,10,0,0,1,4,24,3,10
2015-04-12,6,1,5,3,0,20,21,82,6,7,0,0,1,1,0,1,4,10,0,1,0,1,13,11,7
2015-04-19,3,5,4,1,1,22,34,52,4,14,1,0,0,0,1,1,0,10,0,0,1,1,3,7,10
2015-04-26,6,2,8,1,0,15,46,48,10,4,0,0,0,1,2,3,1,14,0,2,0,0,5,1,14
2015-05-03,5,2,6,4,2,19,27,59,5,14,0,0,1,2,0,2,3,7,0,0,0,0,6,4,8
2015-05-10,0,3,5,5,2,18,39,49,5,2,1,1,2,2,1,0,2,13,0,0,0,0,1,4,5
2015-05-17,0,5,12,4,2,18,31,48,5,2,1,2,1,2,0,5,1,9,0,3,0,6,4,18,10
2015-05-24,0,2,4,2,4,13,31,62,3,3,0,0,2,3,0,4,1,11,0,1,0,2,4,3,9
2015-05-31,0,1,3,4,1,22,29,57,6,4,0,2,1,4,1,2,0,16,0,0,0,1,1,6,10
2015-06-07,1,0,1,4,2,15,25,49,5,6,1,3,1,2,1,3,1,13,0,1,0,0,4,3,7
2015-06-14,1,3,2,1,2,16,24,42,3,7,0,2,1,3,3,2,2,9,0,0,1,0,3,3,9
2015-06-21,6,4,6,7,3,10,35,40,3,4,1,4,2,3,2,1,0,13,0,2,1,0,4,33,15
2015-06-28,3,1,10,4,0,16,42,57,3,8,1,5,0,1,0,2,1,7,0,4,3,2,0,2,6
2015-07-05,4,6,10,9,3,10,19,40,4,12,1,1,3,4,3,4,0,10,0,0,1,0,2,4,7
2015-07-12,5,3,2,5,1,25,37,43,2,9,1,4,3,3,0,2,2,11,0,1,1,1,0,8,8
2015-07-19,8,1,13,3,3,17,33,51,6,6,0,1,0,1,1,0,2,13,0,0,1,0,0,8,5
2015-07-26,3,8,9,4,3,13,22,48,5,3,2,2,0,3,1,2,1,11,0,1,2,0,0,3,11
2015-08-02,8,3,8,10,6,8,11,44,6,5,1,2,2,3,2,4,3,15,0,1,0,0,0,12,7
2015-08-09,4,6,1,2,5,13,27,55,0,10,4,0,0,1,2,4,3,15,0,1,1,0,0,2,8
2015-08-16,3,6,6,1,2,11,25,34,2,15,1,4,2,5,1,0,0,11,0,0,1,0,0,7,7
2015-08-23,6,3,4,3,3,15,16,39,4,11,1,2,2,1,0,2,3,12,0,2,1,0,0,1,5
2015-08-30,6,3,4,3,7,10,34,41,0,6,1,1,3,2,0,3,2,8,0,0,0,0,0,5,5
2015-09-06,6,5,3,8,1,21,34,41,6,7,2,0,0,3,0,1,2,8,0,1,1,2,0,3,11
2015-09-13,4,8,3,6,1,8,19,51,0,9,3,1,0,9,0,1,1,14,0,1,1,1,0,6,6
2015-09-20,4,4,3,5,4,16,22,41,0,10,1,5,0,3,0,2,0,15,0,0,0,0,0,8,0
2015-09-27,2,6,5,2,0,6,13,43,0,7,0,1,1,3,0,3,2,12,0,1,1,0,3,3,0
2015-10-04,7,2,2,4,4,12,17,41,3,12,1,2,2,4,0,0,2,12,0,2,0,1,2,2,14
2015-10-11,4,2,6,8,3,9,16,36,2,12,2,2,3,4,2,4,1,13,0,2,1,0,1,6,9
2015-10-18,4,5,6,8,0,19,19,48,4,6,2,2,1,4,1,4,2,12,0,1,0,3,0,2,9
2015-10-25,3,2,3,5,4,15,18,39,7,10,1,0,2,1,1,1,2,18,0,1,0,12,2,2,6
2015-11-01,4,8,8,3,2,11,27,39,3,11,0,1,0,5,1,2,0,9,0,2,1,18,0,0,5
2015-11-08,2,2,6,7,3,10,18,46,5,11,1,0,3,2,1,4,4,20,0,1,1,1,3,2,5
2015-11-15,4,5,8,7,2,8,18,49,0,9,0,0,0,2,2,1,2,14,0,0,0,2,3,4,3
2015-11-22,6,7,10,5,6,11,33,47,0,8,0,0,1,7,2,5,0,11,0,1,0,3,1,2,6
2015-11-29,3,7,7,3,1,19,19,41,0,3,0,0,2,12,1,1,1,8,0,3,2,0,4,6,9
2015-12-06,3,7,3,5,3,17,29,37,0,6,1,2,3,2,3,6,0,14,0,0,1,6,2,5,8
2015-12-13,4,2,6,8,4,6,24,35,2,12,4,1,3,16,5,2,7,12,0,1,1,32,0,3,174
2015-12-20,7,5,7,4,10,15,30,37,3,17,0,1,0,13,7,3,6,12,0,2,0,2,9,1,15
2015-12-27,5,5,2,8,10,8,26,37,3,11,0,2,5,9,0,6,3,14,0,1,1,0,5,3,8
2016-01-03,6,0,4,4,0,13,25,50,9,2,0,1,2,8,5,7,1,16,0,1,0,1,0,13,7
2016-01-10,8,3,12,6,1,5,39,47,4,5,1,1,2,0,3,1,1,9,0,2,0,1,0,6,12
2016-01-17,5,6,2,4,1,11,23,47,4,6,1,2,0,2,5,2,0,15,0,2,0,0,0,4,8
2016-01-24,6,5,7,11,1,21,22,51,5,4,0,0,1,0,3,2,2,9,0,0,1,0,3,2,5
2016-01-31,4,4,1,3,1,20,25,45,6,6,1,1,1,1,3,0,1,13,0,2,0,3,4,2,13
2016-02-07,4,6,7,4,1,17,24,36,8,7,1,0,0,1,2,6,1,15,0,1,0,0,0,4,10
2016-02-14,9,2,6,9,1,17,12,51,8,11,0,1,0,5,5,0,0,17,0,3,1,1,0,6,10
2016-02-21,4,5,6,4,2,11,16,48,6,8,0,1,0,3,7,1,1,20,0,3,0,2,1,9,7
2016-02-28,12,5,7,5,1,15,22,37,7,6,0,2,0,0,4,3,2,9,0,2,0,1,2,1,10
2016-03-06,5,5,5,7,2,7,6,54,5,5,1,1,2,7,2,4,1,14,0,0,0,2,3,1,11
2016-03-13,5,6,7,5,3,7,12,48,3,9,1,0,1,5,1,3,1,17,0,2,0,1,7,1,13
2016-03-20,10,6,7,9,0,14,16,33,6,11,0,0,0,1,1,5,5,8,0,2,0,1,0,6,12
2016-03-27,8,7,13,6,4,25,31,27,5,6,0,0,1,2,5,2,2,8,5,2,0,1,0,3,12
2016-04-03,2,6,9,9,1,6,19,50,4,14,1,0,0,1,4,2,1,6,4,0,0,0,4,1,8
2016-04-10,12,3,6,0,0,16,23,47,7,4,0,0,1,1,3,0,2,14,2,4,0,0,1,3,12
2016-04-17,5,2,6,4,0,11,16,43,8,8,0,0,1,8,5,2,2,4,1,0,0,0,1,1,15
2016-04-24,8,10,9,6,1,18,16,40,5,12,2,3,3,6,3,2,2,5,5,4,1,3,2,2,9
2016-05-01,10,4,6,7,1,14,40,44,1,10,0,0,0,5,0,1,2,3,2,2,1,1,2,10,9
2016-05-08,5,2,10,4,1,12,16,38,4,15,0,0,0,6,3,2,2,9,4,0,1,2,1,2,12
2016-05-15,11,8,9,7,3,7,19,36,4,8,0,1,1,4,3,0,3,3,3,1,0,2,2,4,9
2016-05-22,7,7,5,8,2,16,17,18,7,6,2,0,2,6,5,2,4,5,3,1,0,0,0,5,12
