ds,HOBBIES_2_142_CA_4,HOBBIES_2_129_CA_1,HOBBIES_2_129_CA_2,HOBBIES_2_100_CA_1,HOBBIES_2_028_CA_3,HOBBIES_2_124_CA_2,HOUSEHOLD_2_142_CA_2,HOBBIES_2_059_CA_2,HOBBIES_1_119_CA_4,HOBBIES_2_142_CA_2,HOUSEHOLD_1_518_CA_2,HOUSEHOLD_2_111_CA_1,HOUSEHOLD_2_067_CA_3,HOBBIES_2_122_CA_3,HOUSEHOLD_2_111_CA_2,HOUSEHOLD_2_053_CA_1,HOBBIES_1_121_CA_3,HOBBIES_2_028_CA_2,HOBBIES_1_145_CA_2,HOBBIES_2_122_CA_1,HOUSEHOLD_2_067_CA_4,HOBBIES_2_016_CA_2,HOBBIES_2_122_CA_2,HOUSEHOLD_1_133_CA_1,HOUSEHOLD_2_239_CA_4
2014-09-07,3,1,7,1,2,10,2,11,7,13,0,0,0,1,1,1,3,0,6,1,0,0,0,1,10
2014-09-14,2,3,5,2,10,6,10,4,6,5,0,0,0,0,2,1,2,0,0,1,0,0,0,3,12
2014-09-21,3,8,2,3,6,2,27,8,1,7,0,0,0,3,5,1,0,0,0,2,0,0,0,8,8
2014-09-28,4,1,3,4,14,2,26,4,2,2,0,0,0,1,2,0,0,6,0,1,0,0,2,19,18
2014-10-05,14,4,4,1,19,10,5,9,6,24,0,0,0,1,3,0,0,3,10,0,0,1,3,242,5
2014-10-12,10,6,6,1,4,5,8,9,4,24,0,0,0,0,2,1,2,4,2,0,0,1,0,6,7
2014-10-19,24,17,7,3,17,19,36,12,3,23,0,0,0,3,3,2,2,4,1,2,0,1,5,4,1
2014-10-26,45,36,17,3,35,21,78,44,2,55,0,0,0,1,0,0,1,5,1,5,0,0,6,3,7
2014-11-02,48,23,36,5,11,46,111,32,5,48,0,0,0,4,1,1,0,7,1,8,0,0,0,1,5
2014-11-09,6,6,7,3,3,10,70,10,2,5,0,0,0,0,0,2,0,0,1,3,0,1,0,2,8
2014-11-16,4,22,15,5,7,6,101,14,2,18,0,0,0,9,2,1,0,0,1,4,0,0,7,7,3
2014-11-23,1,26,19,1,7,10,58,7,2,14,0,0,0,7,6,1,1,2,1,4,0,0,3,2,9
2014-11-30,5,10,6,35,6,4,82,12,3,19,0,0,0,4,0,1,1,0,0,2,0,0,1,3,1
2014-12-07,5,11,19,0,3,13,12,50,2,21,0,0,0,5,1,1,3,4,12,9,0,0,1,5,4
2014-12-14,12,8,32,1,5,19,10,39,0,0,0,0,0,14,0,3,3,0,1,2,0,0,3,2,5
2014-12-21,12,46,13,4,7,8,15,36,1,16,0,0,0,3,1,4,0,4,1,0,0,0,6,2,300
2014-12-28,2,6,1,3,4,14,6,14,2,4,0,0,0,4,1,1,3,2,2,2,0,2,3,1,6
2015-01-04,3,6,4,3,0,2,20,7,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,7,4
2015-01-11,4,9,0,4,5,7,9,17,3,6,0,0,0,0,1,1,2,0,2,1,0,1,0,10,3
2015-01-18,8,9,1,1,8,0,13,0,2,8,0,0,0,0,0,0,1,0,0,2,0,1,0,0,9
2015-01-25,1,4,12,3,2,8,18,14,1,8,0,0,0,1,1,0,3,0,0,3,0,0,2,8,1
2015-02-01,12,2,2,5,4,6,9,12,6,1,0,0,0,1,0,0,3,3,0,0,0,0,0,1,0
2015-02-08,1,2,3,1,6,1,19,7,4,5,0,0,0,1,0,0,2,2,1,0,0,0,0,5,0
2015-02-15,0,1,0,2,6,1,8,12,7,6,0,0,49,1,0,0,1,1,0,0,0,2,0,7,0
2015-02-22,8,6,8,0,1,18,15,18,3,12,0,1,21,1,0,0,0,0,0,0,0,3,4,2,3
2015-03-01,3,0,3,4,6,2,9,8,3,0,0,2,16,0,0,0,2,0,0,1,3,0,0,2,2
2015-03-08,2,3,6,1,6,3,16,10,3,0,0,13,18,4,0,0,2,4,2,0,5,1,2,5,6
2015-03-15,1,5,1,3,1,6,10,3,0,0,0,2,2,0,0,0,3,0,0,1,0,0,0,6,5
2015-03-22,1,24,2,0,3,10,4,7,4,7,0,5,14,3,0,0,2,1,4,0,6,1,0,1,6
2015-03-29,6,2,2,1,1,2,27,3,2,15,0,5,24,1,0,0,0,1,0,0,3,0,3,1,1
2015-04-05,3,34,5,6,6,1,11,7,6,0,0,10,19,1,0,0,1,0,0,0,24,1,4,3,10
2015-04-12,11,5,7,0,0,4,16,8,4,0,0,3,23,4,0,0,2,1,1,0,13,0,1,11,7
2015-04-19,0,15,9,0,2,5,3,4,3,0,0,0,22,4,0,0,11,2,3,0,3,1,1,7,10
2015-04-26,0,34,5,1,2,8,7,7,1,8,0,0,12,3,0,0,3,1,0,0,5,0,0,1,14
2015-05-03,3,0,4,1,1,5,4,4,3,9,0,0,14,3,0,0,1,1,2,1,6,0,0,4,8
2015-05-10,1,2,2,4,2,3,14,6,6,4,0,0,29,2,0,0,1,0,0,0,1,0,0,4,5
2015-05-17,0,13,15,2,1,0,17,1,3,0,0,0,17,0,0,0,6,1,0,3,4,0,6,18,10
2015-05-24,5,5,0,9,3,2,0,1,1,0,0,0,3,2,0,1,3,0,2,1,4,0,2,3,9
2015-05-31,18,7,4,4,4,3,0,10,2,0,0,0,0,7,0,2,5,0,1,0,1,0,1,6,10
2015-06-07,3,6,5,0,3,13,0,8,2,13,0,0,3,1,0,0,0,0,2,0,4,0,0,3,7
2015-06-14,3,6,7,0,2,4,0,4,4,6,0,0,0,0,0,0,1,0,1,0,3,1,0,3,9
2015-06-21,6,3,5,1,6,8,0,4,1,2,0,0,0,0,0,2,2,5,2,0,4,1,0,33,15
2015-06-28,5,0,4,2,0,3,0,6,3,0,0,0,0,2,0,2,0,1,0,0,0,3,2,2,6
2015-07-05,4,5,2,4,2,4,0,7,1,0,0,0,0,2,0,0,5,0,15,0,2,1,0,4,7
2015-07-12,0,0,4,0,0,6,9,2,1,2,0,4,0,1,1,0,3,0,6,0,0,1,1,8,8
2015-07-19,2,1,3,0,4,1,19,0,3,11,0,23,1,2,7,0,6,0,2,0,0,1,0,8,5
2015-07-26,2,1,4,9,3,1,7,6,5,1,0,12,0,0,2,2,8,1,1,0,0,2,0,3,11
2015-08-02,0,4,2,1,1,3,31,3,7,11,0,15,0,0,2,1,4,0,4,0,0,0,0,12,7
2015-08-09,0,1,1,1,4,1,20,4,3,16,0,12,0,0,3,1,3,0,2,1,0,1,0,2,8
2015-08-16,0,3,0,1,2,1,0,22,2,3,0,12,6,2,3,1,0,1,1,0,0,1,0,7,7
2015-08-23,0,1,3,2,1,2,0,7,3,4,0,6,2,1,3,0,3,0,0,1,0,1,0,1,5
2015-08-30,0,9,1,4,5,13,3,3,7,8,0,4,5,2,0,0,7,1,14,0,0,0,0,5,5
2015-09-06,0,4,3,1,2,7,20,8,5,24,0,3,8,1,0,0,1,3,0,1,0,1,2,3,11
2015-09-13,0,1,17,6,5,16,9,10,4,25,0,5,2,1,0,2,3,1,0,2,0,1,1,6,6
2015-09-20,0,12,3,2,6,6,10,1,10,31,0,3,1,3,0,0,1,2,0,1,0,0,0,8,0
2015-09-27,0,0,1,5,10,30,11,7,4,14,0,1,0,1,0,1,7,3,0,5,3,1,0,3,0
2015-10-04,2,15,10,1,9,5,14,6,4,21,0,1,0,1,0,0,0,3,0,0,2,0,1,2,14
2015-10-11,4,7,33,6,17,8,22,8,5,33,0,0,0,5,0,0,5,21,0,0,1,1,0,6,9
2015-10-18,11,3,20,5,25,39,10,16,6,34,0,0,0,3,0,0,4,12,0,8,0,0,3,2,9
2015-10-25,23,61,27,9,7,16,21,13,3,94,0,1,0,10,1,0,6,3,0,10,2,0,12,2,6
2015-11-01,52,17,24,7,6,0,14,54,4,48,0,2,4,19,1,0,4,12,0,7,0,1,18,0,5
2015-11-08,12,31,17,2,1,9,8,9,7,46,0,2,3,3,1,0,12,2,0,7,3,1,1,2,5
2015-11-15,21,16,2,4,3,0,12,10,4,7,0,1,9,1,1,0,10,3,0,1,3,0,2,4,3
2015-11-22,10,24,12,5,2,9,9,25,5,26,0,0,2,0,0,0,3,4,0,6,1,0,3,2,6
2015-11-29,6,9,3,11,4,4,9,7,7,27,0,0,0,2,0,0,0,3,0,5,4,2,0,6,9
2015-12-06,9,20,0,18,2,7,11,26,11,16,0,0,6,9,0,0,2,3,0,2,2,1,6,5,8
2015-12-13,8,8,0,12,7,4,13,46,13,23,0,1,9,28,0,0,3,2,0,25,0,1,32,3,174
2015-12-20,13,3,0,3,11,3,12,7,6,30,0,2,2,17,0,0,3,1,0,1,9,0,2,1,15
2015-12-27,1,0,0,1,2,7,7,0,5,9,0,0,8,4,3,0,3,0,0,0,5,1,0,3,8
2016-01-03,3,4,0,1,0,0,6,10,4,12,0,0,8,1,0,0,10,1,0,0,0,0,1,13,7
2016-01-10,5,0,1,1,1,1,9,8,5,3,0,1,6,0,0,0,3,6,0,0,0,0,1,6,12
2016-01-17,13,3,8,1,2,5,10,9,6,5,0,0,8,0,0,1,1,1,0,0,0,0,0,4,8
2016-01-24,0,2,1,4,6,6,1,8,1,23,0,1,9,0,1,0,3,0,0,2,3,1,0,2,5
2016-01-31,6,12,1,4,4,6,0,13,7,17,0,3,1,2,4,0,1,3,0,0,4,0,3,2,13
2016-02-07,6,23,4,6,0,4,0,11,8,11,0,1,8,5,1,0,3,5,0,1,0,0,0,4,10
2016-02-14,10,15,4,5,5,0,11,6,1,11,0,0,33,2,2,0,1,7,1,0,0,1,1,6,10
2016-02-21,0,1,4,2,4,0,17,2,9,8,0,0,12,0,4,0,2,3,6,1,1,0,2,9,7
2016-02-28,3,35,3,3,3,1,7,10,12,17,0,6,11,1,6,0,1,2,9,2,2,0,1,1,10
2016-03-06,5,4,5,3,6,0,11,4,2,2,0,1,4,0,4,0,0,2,7,3,3,0,2,1,11
2016-03-13,0,4,2,4,3,0,10,7,1,19,0,1,1,0,4,0,5,3,14,2,7,0,1,1,13
2016-03-20,1,9,12,7,3,0,2,11,0,19,0,1,2,0,2,0,6,2,0,1,0,0,1,6,12
2016-03-27,0,3,26,9,8,0,17,8,0,14,0,0,1,0,7,0,1,0,0,4,0,0,1,3,12
2016-04-03,0,5,3,2,0,0,7,1,8,13,2,0,4,0,7,0,2,2,0,0,4,0,0,1,8
2016-04-10,0,8,3,2,5,3,7,8,2,6,12,0,4,0,2,0,1,4,1,0,1,0,0,3,12
2016-04-17,0,10,20,1,5,4,10,5,3,10,8,1,4,3,5,0,2,1,0,2,1,0,0,1,15
2016-04-24,0,20,6,1,7,3,6,2,9,4,6,1,0,1,5,0,3,1,2,0,2,1,3,2,9
2016-05-01,3,4,11,10,11,6,10,11,2,12,8,1,2,2,7,0,0,3,0,2,2,1,1,10,9
2016-05-08,7,5,7,3,2,9,10,6,0,10,7,1,0,1,7,0,0,1,0,3,1,1,2,2,12
2016-05-15,1,9,8,3,2,9,10,8,1,15,8,0,0,0,6,1,3,6,5,4,2,0,2,4,9
2016-05-22,4,21,3,3,2,3,10,11,3,19,10,0,2,4,1,0,2,0,10,6,0,0,0,5,12
