,avgPriceChoice,UPC,PRICE,FEATURE,DISPLAY,TPR_ONLY,RELPRICE
86,3.25,1600027527,4.5,1,1,1,1.384615385
87,3.25,1600027527,5,1,1,1,1.538461538
88,3.5,1600027527,1.5,1,1,1,0.428571429
89,3.5,1600027527,2,1,1,1,0.571428571
90,3.5,1600027527,2.5,1,1,1,0.714285714
91,3.5,1600027527,3,1,1,1,0.857142857
92,3.5,1600027527,3.5,1,1,1,1
93,3.5,1600027527,4,1,1,1,1.142857143
94,3.5,1600027527,4.5,1,1,1,1.285714286
95,3.5,1600027527,5,1,1,1,1.428571429
96,2.5,1600027528,1.5,1,1,1,0.6
97,2.5,1600027528,2,1,1,1,0.8
98,2.5,1600027528,2.5,1,1,1,1
99,2.5,1600027528,3,1,1,1,1.2
100,2.5,1600027528,3.5,1,1,1,1.4
101,2.5,1600027528,4,1,1,1,1.6
102,2.5,1600027528,4.5,1,1,1,1.8
103,2.5,1600027528,5,1,1,1,2
104,3,1600027528,1.5,1,1,1,0.5
105,3,1600027528,2,1,1,1,0.666666667
106,3,1600027528,2.5,1,1,1,0.833333333
107,3,1600027528,3,1,1,1,1
108,3,1600027528,3.5,1,1,1,1.166666667
109,3,1600027528,4,1,1,1,1.333333333
110,3,1600027528,4.5,1,1,1,1.5
111,3,1600027528,5,1,1,1,1.666666667
112,3.25,1600027528,1.5,1,1,1,0.461538462
113,3.25,1600027528,2,1,1,1,0.615384615
114,3.25,1600027528,2.5,1,1,1,0.769230769
115,3.25,1600027528,3,1,1,1,0.923076923
116,3.25,1600027528,3.5,1,1,1,1.076923077
117,3.25,1600027528,4,1,1,1,1.230769231
118,3.25,1600027528,4.5,1,1,1,1.384615385
119,3.25,1600027528,5,1,1,1,1.538461538
120,3.5,1600027528,1.5,1,1,1,0.428571429
121,3.5,1600027528,2,1,1,1,0.571428571
122,3.5,1600027528,2.5,1,1,1,0.714285714
123,3.5,1600027528,3,1,1,1,0.857142857
124,3.5,1600027528,3.5,1,1,1,1
125,3.5,1600027528,4,1,1,1,1.142857143
126,3.5,1600027528,4.5,1,1,1,1.285714286
127,3.5,1600027528,5,1,1,1,1.428571429
128,2.5,1600027564,1.5,1,1,1,0.6
129,2.5,1600027564,2,1,1,1,0.8
130,2.5,1600027564,2.5,1,1,1,1
131,2.5,1600027564,3,1,1,1,1.2
132,2.5,1600027564,3.5,1,1,1,1.4
133,2.5,1600027564,4,1,1,1,1.6
134,2.5,1600027564,4.5,1,1,1,1.8
135,2.5,1600027564,5,1,1,1,2
136,3,1600027564,1.5,1,1,1,0.5
137,3,1600027564,2,1,1,1,0.666666667
138,3,1600027564,2.5,1,1,1,0.833333333
139,3,1600027564,3,1,1,1,1
140,3,1600027564,3.5,1,1,1,1.166666667
141,3,1600027564,4,1,1,1,1.333333333
142,3,1600027564,4.5,1,1,1,1.5
143,3,1600027564,5,1,1,1,1.666666667
144,3.25,1600027564,1.5,1,1,1,0.461538462
145,3.25,1600027564,2,1,1,1,0.615384615
146,3.25,1600027564,2.5,1,1,1,0.769230769
147,3.25,1600027564,3,1,1,1,0.923076923
148,3.25,1600027564,3.5,1,1,1,1.076923077
149,3.25,1600027564,4,1,1,1,1.230769231
150,3.25,1600027564,4.5,1,1,1,1.384615385
151,3.25,1600027564,5,1,1,1,1.538461538
152,3.5,1600027564,1.5,1,1,1,0.428571429
153,3.5,1600027564,2,1,1,1,0.571428571
154,3.5,1600027564,2.5,1,1,1,0.714285714
155,3.5,1600027564,3,1,1,1,0.857142857
156,3.5,1600027564,3.5,1,1,1,1
157,3.5,1600027564,4,1,1,1,1.142857143
158,3.5,1600027564,4.5,1,1,1,1.285714286
159,3.5,1600027564,5,1,1,1,1.428571429
160,2.5,3000006340,1.5,1,1,1,0.6
161,2.5,3000006340,2,1,1,1,0.8
162,2.5,3000006340,2.5,1,1,1,1
163,2.5,3000006340,3,1,1,1,1.2
164,2.5,3000006340,3.5,1,1,1,1.4
165,2.5,3000006340,4,1,1,1,1.6
166,2.5,3000006340,4.5,1,1,1,1.8
167,2.5,3000006340,5,1,1,1,2
168,3,3000006340,1.5,1,1,1,0.5
169,3,3000006340,2,1,1,1,0.666666667
170,3,3000006340,2.5,1,1,1,0.833333333
171,3,3000006340,3,1,1,1,1
172,3,3000006340,3.5,1,1,1,1.166666667
173,3,3000006340,4,1,1,1,1.333333333
174,3,3000006340,4.5,1,1,1,1.5
175,3,3000006340,5,1,1,1,1.666666667
176,3.25,3000006340,1.5,1,1,1,0.461538462
177,3.25,3000006340,2,1,1,1,0.615384615
178,3.25,3000006340,2.5,1,1,1,0.769230769
179,3.25,3000006340,3,1,1,1,0.923076923
180,3.25,3000006340,3.5,1,1,1,1.076923077
181,3.25,3000006340,4,1,1,1,1.230769231
182,3.25,3000006340,4.5,1,1,1,1.384615385
183,3.25,3000006340,5,1,1,1,1.538461538
184,3.5,3000006340,1.5,1,1,1,0.428571429
185,3.5,3000006340,2,1,1,1,0.571428571
186,3.5,3000006340,2.5,1,1,1,0.714285714
187,3.5,3000006340,3,1,1,1,0.857142857
188,3.5,3000006340,3.5,1,1,1,1
189,3.5,3000006340,4,1,1,1,1.142857143
190,3.5,3000006340,4.5,1,1,1,1.285714286
191,3.5,3000006340,5,1,1,1,1.428571429
192,2.5,3800031829,1.5,1,1,1,0.6
193,2.5,3800031829,2,1,1,1,0.8
194,2.5,3800031829,2.5,1,1,1,1
195,2.5,3800031829,3,1,1,1,1.2
196,2.5,3800031829,3.5,1,1,1,1.4
197,2.5,3800031829,4,1,1,1,1.6
198,2.5,3800031829,4.5,1,1,1,1.8
199,2.5,3800031829,5,1,1,1,2
200,3,3800031829,1.5,1,1,1,0.5
201,3,3800031829,2,1,1,1,0.666666667
202,3,3800031829,2.5,1,1,1,0.833333333
203,3,3800031829,3,1,1,1,1
204,3,3800031829,3.5,1,1,1,1.166666667
205,3,3800031829,4,1,1,1,1.333333333
206,3,3800031829,4.5,1,1,1,1.5
207,3,3800031829,5,1,1,1,1.666666667
208,3.25,3800031829,1.5,1,1,1,0.461538462
209,3.25,3800031829,2,1,1,1,0.615384615
210,3.25,3800031829,2.5,1,1,1,0.769230769
211,3.25,3800031829,3,1,1,1,0.923076923
212,3.25,3800031829,3.5,1,1,1,1.076923077
213,3.25,3800031829,4,1,1,1,1.230769231
214,3.25,3800031829,4.5,1,1,1,1.384615385
215,3.25,3800031829,5,1,1,1,1.538461538
216,3.5,3800031829,1.5,1,1,1,0.428571429
217,3.5,3800031829,2,1,1,1,0.571428571
218,3.5,3800031829,2.5,1,1,1,0.714285714
219,3.5,3800031829,3,1,1,1,0.857142857
220,3.5,3800031829,3.5,1,1,1,1
221,3.5,3800031829,4,1,1,1,1.142857143
222,3.5,3800031829,4.5,1,1,1,1.285714286
223,3.5,3800031829,5,1,1,1,1.428571429
