quarter_ending,HSC_trust,specialty,program,0-6_weeks,>6-13_weeks,>13-21_weeks,>21-26_weeks,>26-52_weeks,>52_weeks,>26-30_weeks
30-Jun-07,Northern,Cardiology,Acute Services,20,11,19,0,0,,--
30-Jun-07,Northern,Dermatology,Acute Services,25,19,8,6,0,,--
30-Jun-07,Northern,Gynaecology,Acute Services,201,166,149,13,0,,--
30-Jun-07,Northern,GP Other,Acute Services,53,7,2,2,0,,--
30-Jun-07,South Eastern,General Surgery,Acute Services,817,561,282,37,0,,--
30-Jun-07,South Eastern,Urology,Acute Services,72,47,22,3,0,,--
30-Jun-07,South Eastern,T & O Surgery,Acute Services,11,2,0,0,0,,--
30-Jun-07,South Eastern,ENT,Acute Services,55,47,22,0,0,,--
30-Jun-07,South Eastern,Ophthalmology,Acute Services,80,84,93,6,0,,--
30-Jun-07,South Eastern,Oral Surgery,Acute Services,11,9,5,0,0,,--
30-Jun-07,South Eastern,Plastic Surgery,Acute Services,165,41,18,0,0,,--
30-Jun-07,South Eastern,Paediatric Surgery,Acute Services,42,46,57,9,0,,--
30-Jun-07,South Eastern,Pain Management,Acute Services,20,10,9,0,0,,--
30-Jun-07,South Eastern,General Medicine,Acute Services,295,96,23,1,0,,--
30-Jun-07,South Eastern,Haematology (Clinical),Acute Services,5,0,0,0,0,,--
30-Jun-07,South Eastern,Cardiology,Acute Services,30,17,10,2,0,,--
30-Jun-07,South Eastern,Dermatology,Acute Services,66,66,23,3,0,,--
30-Jun-07,South Eastern,Neurology,Acute Services,0,1,1,0,0,,--
30-Jun-07,South Eastern,Paediatrics,Acute Services,15,0,0,0,0,,--
30-Jun-07,South Eastern,Gynaecology,Acute Services,164,84,8,0,0,,--
30-Jun-07,South Eastern,GP Other,Acute Services,18,5,0,0,0,,--
30-Jun-07,South Eastern,Clinical Oncology,Acute Services,1,0,0,0,0,,--
30-Jun-07,South Eastern,Geriatric Medicine,Elderly Care,58,1,0,0,0,,--
30-Jun-07,Southern,General Surgery,Acute Services,594,345,234,10,0,,--
30-Jun-07,Southern,Urology,Acute Services,106,97,63,9,0,,--
30-Jun-07,Southern,T & O Surgery,Acute Services,7,3,3,0,0,,--
30-Jun-07,Southern,ENT,Acute Services,84,93,73,3,0,,--
30-Jun-07,Southern,Ophthalmology,Acute Services,68,63,68,0,0,,--
30-Jun-07,Southern,Oral Surgery,Acute Services,25,22,16,0,0,,--
30-Jun-07,Southern,Paediatric Dentistry,Acute Services,16,3,2,0,0,,--
30-Jun-07,Southern,Pain Management,Acute Services,21,20,22,0,0,,--
30-Jun-07,Southern,General Medicine,Acute Services,36,23,0,0,0,,--
30-Jun-07,Southern,Gastroenterology,Acute Services,169,160,125,0,0,,--
30-Jun-07,Southern,Haematology (Clinical),Acute Services,22,7,1,0,0,,--
30-Jun-07,Southern,Palliative Medicine,Acute Services,1,0,0,0,0,,--
30-Jun-07,Southern,Cardiology,Acute Services,108,120,129,46,0,,--
30-Jun-07,Southern,Dermatology,Acute Services,25,11,19,2,0,,--
30-Jun-07,Southern,Thoracic Medicine,Acute Services,16,1,0,0,0,,--
30-Jun-07,Southern,Neurology,Acute Services,0,2,0,0,0,,--
30-Jun-07,Southern,Rheumatology,Acute Services,156,135,106,0,0,,--
30-Jun-07,Southern,Paediatrics,Acute Services,1,1,0,0,0,,--
30-Jun-07,Southern,Gynaecology,Acute Services,211,120,73,3,0,,--
30-Jun-07,Southern,GP Other,Acute Services,62,27,1,0,0,,--
30-Jun-07,Southern,Clinical Oncology,Acute Services,12,0,0,0,0,,--
30-Jun-07,Western,General Surgery,Acute Services,599,307,105,5,0,,--
30-Jun-07,Western,Urology,Acute Services,105,48,22,3,0,,--
30-Jun-07,Western,T & O Surgery,Acute Services,43,36,51,12,0,,--
30-Jun-07,Western,ENT,Acute Services,103,77,83,17,0,,--
30-Jun-07,Western,Ophthalmology,Acute Services,241,195,167,35,0,,--
30-Jun-07,Western,Oral Surgery,Acute Services,75,20,9,0,0,,--
30-Jun-07,Western,Pain Management,Acute Services,34,30,30,17,0,,--
30-Jun-07,Western,General Medicine,Acute Services,437,225,89,9,0,,--
30-Jun-07,Western,Cardiology,Acute Services,20,9,3,0,0,,--
30-Jun-07,Western,Paediatrics,Acute Services,2,0,0,0,0,,--
30-Jun-07,Western,Gynaecology,Acute Services,164,127,54,13,0,,--
30-Jun-07,Western,GP Other,Acute Services,56,14,3,0,0,,--
30-Sep-07,Belfast,General Surgery,Acute Services,343,210,141,1,0,,--
30-Sep-07,Belfast,Urology,Acute Services,480,242,120,0,0,,--
30-Sep-07,Belfast,T & O Surgery,Acute Services,228,339,156,0,99,,--
30-Sep-07,Belfast,ENT,Acute Services,112,91,94,0,0,,--
30-Sep-07,Belfast,Ophthalmology,Acute Services,870,836,745,13,0,,--
30-Sep-07,Belfast,Oral Surgery,Acute Services,42,34,32,0,0,,--
30-Sep-07,Belfast,Paediatric Dentistry,Acute Services,23,19,9,0,0,,--
30-Sep-07,Belfast,Neurosurgery,Acute Services,27,5,0,0,0,,--
30-Sep-07,Belfast,Plastic Surgery,Acute Services,37,27,50,0,0,,--
30-Sep-07,Belfast,Paediatric Surgery,Acute Services,81,74,68,0,0,,--
30-Sep-07,Belfast,Thoracic Surgery,Acute Services,11,8,3,0,0,,--
30-Sep-07,Belfast,Accident & Emergency,Acute Services,25,1,0,0,0,,--
30-Sep-07,Belfast,Anaesthetics,Acute Services,14,16,1,0,0,,--
30-Sep-07,Belfast,Pain Management,Acute Services,118,86,72,0,0,,--
30-Sep-07,Belfast,General Medicine,Acute Services,195,91,33,0,0,,--
30-Sep-07,Belfast,Gastroenterology,Acute Services,378,257,86,1,0,,--
30-Sep-07,Belfast,Endocrinology,Acute Services,13,5,0,0,0,,--
30-Sep-07,Belfast,Cardiology,Acute Services,205,119,62,0,0,,--
30-Sep-07,Belfast,Dermatology,Acute Services,20,20,22,0,0,,--
30-Sep-07,Belfast,Thoracic Medicine,Acute Services,2,0,0,0,0,,--
30-Sep-07,Belfast,Nephrology,Acute Services,8,19,10,0,0,,--
30-Sep-07,Belfast,Neurology,Acute Services,4,0,0,0,0,,--
30-Sep-07,Belfast,Rheumatology,Acute Services,44,42,2,0,0,,--
30-Sep-07,Belfast,Gynaecology,Acute Services,167,89,65,0,0,,--
30-Sep-07,Belfast,Radiology,Acute Services,2,1,0,0,0,,--
30-Sep-07,Belfast,Child & Adolescent Psychiatry,Mental Health,0,0,1,0,0,,--
30-Sep-07,Northern,General Surgery,Acute Services,907,805,342,0,0,,--
30-Sep-07,Northern,Urology,Acute Services,89,7,0,0,0,,--
30-Sep-07,Northern,ENT,Acute Services,71,17,8,0,0,,--
30-Sep-07,Northern,Oral Surgery,Acute Services,0,3,2,0,0,,--
30-Sep-07,Northern,Pain Management,Acute Services,94,63,31,0,0,,--
30-Sep-07,Northern,General Medicine,Acute Services,151,42,42,0,0,,--
30-Sep-07,Northern,Gastroenterology,Acute Services,376,328,122,0,0,,--
30-Sep-07,Northern,Cardiology,Acute Services,2,3,0,0,0,,--
30-Sep-07,Northern,Dermatology,Acute Services,19,18,7,0,0,,--
30-Sep-07,Northern,Gynaecology,Acute Services,182,160,80,0,0,,--
30-Sep-07,Northern,GP Other,Acute Services,82,16,2,0,0,,--
30-Sep-07,South Eastern,General Surgery,Acute Services,765,522,375,0,0,,--
30-Sep-07,South Eastern,Urology,Acute Services,64,41,15,0,0,,--
30-Sep-07,South Eastern,T & O Surgery,Acute Services,8,0,0,0,0,,--
30-Sep-07,South Eastern,ENT,Acute Services,44,46,17,0,0,,--
30-Sep-07,South Eastern,Ophthalmology,Acute Services,70,93,43,0,0,,--
30-Sep-07,South Eastern,Oral Surgery,Acute Services,10,22,6,0,0,,--
30-Sep-07,South Eastern,Paediatric Dentistry,Acute Services,1,0,0,0,0,,--
30-Sep-07,South Eastern,Plastic Surgery,Acute Services,124,66,33,0,0,,--
30-Sep-07,South Eastern,Paediatric Surgery,Acute Services,42,47,37,0,0,,--
30-Sep-07,South Eastern,Pain Management,Acute Services,17,18,1,0,0,,--
30-Sep-07,South Eastern,General Medicine,Acute Services,235,101,51,0,0,,--
30-Sep-07,South Eastern,Haematology (Clinical),Acute Services,4,0,0,0,0,,--
30-Sep-07,South Eastern,Cardiology,Acute Services,23,19,7,0,0,,--
30-Sep-07,South Eastern,Dermatology,Acute Services,70,71,16,0,0,,--
30-Sep-07,South Eastern,Paediatrics,Acute Services,16,0,0,0,0,,--
30-Sep-07,South Eastern,Gynaecology,Acute Services,145,112,11,0,0,,--
30-Sep-07,South Eastern,GP Other,Acute Services,6,0,0,0,0,,--
30-Sep-07,South Eastern,Clinical Oncology,Acute Services,1,0,0,0,0,,--
30-Sep-07,South Eastern,Geriatric Medicine,Elderly Care,33,0,0,0,0,,--
30-Sep-07,Southern,General Surgery,Acute Services,644,452,380,0,0,,--
30-Sep-07,Southern,Urology,Acute Services,136,106,70,0,0,,--
30-Sep-07,Southern,T & O Surgery,Acute Services,3,11,3,0,0,,--
30-Sep-07,Southern,ENT,Acute Services,68,69,77,0,0,,--
30-Sep-07,Southern,Ophthalmology,Acute Services,36,54,55,0,0,,--
30-Sep-07,Southern,Oral Surgery,Acute Services,24,18,14,0,0,,--
30-Sep-07,Southern,Paediatric Dentistry,Acute Services,10,16,1,0,0,,--
30-Sep-07,Southern,Pain Management,Acute Services,21,26,29,0,0,,--
30-Sep-07,Southern,General Medicine,Acute Services,41,19,0,0,0,,--
30-Sep-07,Southern,Gastroenterology,Acute Services,196,152,44,0,0,,--
30-Sep-07,Southern,Haematology (Clinical),Acute Services,36,1,0,0,0,,--
30-Sep-07,Southern,Palliative Medicine,Acute Services,2,1,0,0,0,,--
30-Sep-07,Southern,Cardiology,Acute Services,138,119,104,0,0,,--
30-Sep-07,Southern,Dermatology,Acute Services,34,15,17,0,0,,--
30-Sep-07,Southern,Thoracic Medicine,Acute Services,12,1,0,0,0,,--
30-Sep-07,Southern,Rheumatology,Acute Services,124,137,103,0,0,,--
30-Sep-07,Southern,Paediatrics,Acute Services,4,0,0,0,0,,--
30-Sep-07,Southern,Gynaecology,Acute Services,163,134,91,0,0,,--
30-Sep-07,Southern,GP Other,Acute Services,61,4,0,0,0,,--
30-Sep-07,Southern,Clinical Oncology,Acute Services,15,2,0,0,0,,--
30-Sep-07,Western,General Surgery,Acute Services,629,317,128,1,0,,--
30-Sep-07,Western,Urology,Acute Services,138,52,33,0,0,,--
30-Sep-07,Western,T & O Surgery,Acute Services,62,48,27,0,0,,--
30-Sep-07,Western,ENT,Acute Services,54,40,44,5,0,,--
30-Sep-07,Western,Ophthalmology,Acute Services,324,224,208,0,0,,--
30-Sep-07,Western,Oral Surgery,Acute Services,69,15,8,0,0,,--
30-Sep-07,Western,Pain Management,Acute Services,53,15,29,0,0,,--
30-Sep-07,Western,General Medicine,Acute Services,492,308,129,0,0,,--
30-Sep-07,Western,Cardiology,Acute Services,26,4,1,0,0,,--
30-Sep-07,Western,Paediatrics,Acute Services,4,0,0,0,0,,--
30-Sep-07,Western,Gynaecology,Acute Services,179,121,54,0,0,,--
30-Sep-07,Western,GP Other,Acute Services,44,3,3,0,0,,--
31-Dec-07,Belfast,General Surgery,Acute Services,333,270,117,0,0,,--
31-Dec-07,Belfast,Urology,Acute Services,478,319,128,1,0,,--
31-Dec-07,Belfast,T & O Surgery,Acute Services,262,303,234,16,110,,--
31-Dec-07,Belfast,ENT,Acute Services,120,101,22,0,0,,--
31-Dec-07,Belfast,Ophthalmology,Acute Services,"1,012","1,028",395,0,0,,--
31-Dec-07,Belfast,Oral Surgery,Acute Services,50,62,21,0,0,,--
31-Dec-07,Belfast,Paediatric Dentistry,Acute Services,57,19,6,0,0,,--
31-Dec-07,Belfast,Neurosurgery,Acute Services,20,33,8,0,0,,--
31-Dec-07,Belfast,Plastic Surgery,Acute Services,77,49,18,0,0,,--
31-Dec-07,Belfast,Paediatric Surgery,Acute Services,91,114,45,0,0,,--
31-Dec-07,Belfast,Thoracic Surgery,Acute Services,14,6,2,0,0,,--
31-Dec-07,Belfast,Accident & Emergency,Acute Services,7,12,0,0,0,,--
31-Dec-07,Belfast,Anaesthetics,Acute Services,17,19,2,0,0,,--
31-Dec-07,Belfast,Pain Management,Acute Services,139,115,68,0,0,,--
31-Dec-07,Belfast,General Medicine,Acute Services,262,102,5,0,0,,--
31-Dec-07,Belfast,Gastroenterology,Acute Services,397,376,139,0,0,,--
31-Dec-07,Belfast,Endocrinology,Acute Services,11,7,0,0,0,,--
31-Dec-07,Belfast,Cardiology,Acute Services,174,113,37,0,0,,--
31-Dec-07,Belfast,Dermatology,Acute Services,31,34,22,0,0,,--
31-Dec-07,Belfast,Thoracic Medicine,Acute Services,0,2,0,0,0,,--
31-Dec-07,Belfast,Nephrology,Acute Services,11,21,1,0,0,,--
31-Dec-07,Belfast,Neurology,Acute Services,16,0,0,0,0,,--
31-Dec-07,Belfast,Rheumatology,Acute Services,16,21,2,0,0,,--
31-Dec-07,Belfast,Gynaecology,Acute Services,210,115,37,0,0,,--
31-Dec-07,Belfast,Radiology,Acute Services,3,0,0,0,0,,--
31-Dec-07,Belfast,Psychotherapy,Mental Health,1,0,0,0,0,,--
31-Dec-07,Northern,General Surgery,Acute Services,850,762,327,0,0,,--
31-Dec-07,Northern,Urology,Acute Services,78,13,0,0,0,,--
31-Dec-07,Northern,ENT,Acute Services,59,28,0,0,0,,--
31-Dec-07,Northern,Oral Surgery,Acute Services,1,5,3,0,0,,--
31-Dec-07,Northern,Pain Management,Acute Services,83,128,54,0,0,,--
31-Dec-07,Northern,General Medicine,Acute Services,166,80,10,0,0,,--
31-Dec-07,Northern,Gastroenterology,Acute Services,407,342,153,0,0,,--
31-Dec-07,Northern,Cardiology,Acute Services,1,4,0,0,0,,--
31-Dec-07,Northern,Dermatology,Acute Services,28,26,42,0,0,,--
31-Dec-07,Northern,Gynaecology,Acute Services,223,174,46,0,0,,--
31-Dec-07,Northern,GP Other,Acute Services,77,12,1,0,0,,--
31-Dec-07,South Eastern,General Surgery,Acute Services,803,604,153,0,0,,--
31-Dec-07,South Eastern,Urology,Acute Services,28,34,2,0,0,,--
31-Dec-07,South Eastern,T & O Surgery,Acute Services,7,1,0,0,0,,--
31-Dec-07,South Eastern,ENT,Acute Services,46,31,11,0,0,,--
31-Dec-07,South Eastern,Ophthalmology,Acute Services,91,120,29,0,0,,--
31-Dec-07,South Eastern,Oral Surgery,Acute Services,20,15,0,0,0,,--
31-Dec-07,South Eastern,Neurosurgery,Acute Services,1,3,0,0,0,,--
31-Dec-07,South Eastern,Plastic Surgery,Acute Services,154,154,55,0,0,,--
31-Dec-07,South Eastern,Paediatric Surgery,Acute Services,58,46,1,0,0,,--
31-Dec-07,South Eastern,Pain Management,Acute Services,7,23,5,0,0,,--
31-Dec-07,South Eastern,General Medicine,Acute Services,350,301,41,0,0,,--
31-Dec-07,South Eastern,Haematology (Clinical),Acute Services,13,0,0,0,0,,--
31-Dec-07,South Eastern,Cardiology,Acute Services,29,5,1,0,0,,--
31-Dec-07,South Eastern,Dermatology,Acute Services,43,65,24,0,0,,--
31-Dec-07,South Eastern,Paediatrics,Acute Services,36,3,0,0,0,,--
31-Dec-07,South Eastern,Gynaecology,Acute Services,195,119,27,0,0,,--
31-Dec-07,South Eastern,GP Other,Acute Services,27,0,0,0,0,,--
31-Dec-07,South Eastern,Clinical Oncology,Acute Services,5,0,0,0,0,,--
31-Dec-07,South Eastern,Geriatric Medicine,Elderly Care,39,0,1,0,0,,--
31-Dec-07,Southern,General Surgery,Acute Services,520,648,356,0,0,,--
31-Dec-07,Southern,Urology,Acute Services,160,169,85,0,0,,--
31-Dec-07,Southern,T & O Surgery,Acute Services,8,10,5,0,0,,--
31-Dec-07,Southern,ENT,Acute Services,98,101,49,0,0,,--
31-Dec-07,Southern,Ophthalmology,Acute Services,54,62,13,0,0,,--
31-Dec-07,Southern,Oral Surgery,Acute Services,13,22,18,0,0,,--
31-Dec-07,Southern,Paediatric Dentistry,Acute Services,9,3,0,0,0,,--
31-Dec-07,Southern,Pain Management,Acute Services,31,51,32,0,0,,--
31-Dec-07,Southern,General Medicine,Acute Services,39,46,2,0,0,,--
31-Dec-07,Southern,Gastroenterology,Acute Services,187,170,50,0,0,,--
31-Dec-07,Southern,Haematology (Clinical),Acute Services,39,2,0,0,0,,--
31-Dec-07,Southern,Palliative Medicine,Acute Services,2,0,1,0,0,,--
31-Dec-07,Southern,Cardiology,Acute Services,142,109,117,0,0,,--
31-Dec-07,Southern,Dermatology,Acute Services,21,30,20,0,0,,--
31-Dec-07,Southern,Thoracic Medicine,Acute Services,9,2,0,0,0,,--
31-Dec-07,Southern,Rheumatology,Acute Services,124,172,123,0,0,,--
31-Dec-07,Southern,Paediatrics,Acute Services,2,0,0,0,0,,--
31-Dec-07,Southern,Gynaecology,Acute Services,184,170,52,0,0,,--
31-Dec-07,Southern,GP Other,Acute Services,40,15,3,0,0,,--
31-Dec-07,Southern,Clinical Oncology,Acute Services,7,1,0,0,0,,--
31-Dec-07,Western,General Surgery,Acute Services,532,374,161,0,0,,--
31-Dec-07,Western,Urology,Acute Services,130,63,39,0,0,,--
31-Dec-07,Western,T & O Surgery,Acute Services,57,60,45,0,0,,--
31-Dec-07,Western,ENT,Acute Services,50,38,13,0,0,,--
31-Dec-07,Western,Ophthalmology,Acute Services,292,277,262,0,0,,--
31-Dec-07,Western,Oral Surgery,Acute Services,87,9,2,0,0,,--
31-Dec-07,Western,Pain Management,Acute Services,38,40,28,0,0,,--
31-Dec-07,Western,General Medicine,Acute Services,461,511,165,0,0,,--
31-Dec-07,Western,Cardiology,Acute Services,41,33,7,0,0,,--
31-Dec-07,Western,Paediatrics,Acute Services,1,0,2,0,0,,--
31-Dec-07,Western,Gynaecology,Acute Services,176,147,46,0,0,,--
31-Dec-07,Western,GP Other,Acute Services,62,2,1,0,0,,--
31-Dec-07,Western,Obstetrics,Maternity & Child Health,1,0,0,0,0,,--
31-Mar-08,Belfast,General Surgery,Acute Services,344,198,74,0,0,,--
31-Mar-08,Belfast,Urology,Acute Services,464,326,122,0,4,,--
31-Mar-08,Belfast,T & O Surgery,Acute Services,251,293,285,2,12,,--
31-Mar-08,Belfast,ENT,Acute Services,145,128,22,0,0,,--
31-Mar-08,Belfast,Ophthalmology,Acute Services,824,"1,037",687,0,0,,--
31-Mar-08,Belfast,Oral Surgery,Acute Services,46,44,21,0,0,,--
31-Mar-08,Belfast,Paediatric Dentistry,Acute Services,36,18,17,0,0,,--
31-Mar-08,Belfast,Neurosurgery,Acute Services,35,22,11,0,0,,--
31-Mar-08,Belfast,Plastic Surgery,Acute Services,60,63,51,0,0,,--
31-Mar-08,Belfast,Paediatric Surgery,Acute Services,68,65,62,0,0,,--
31-Mar-08,Belfast,Thoracic Surgery,Acute Services,15,4,1,0,0,,--
31-Mar-08,Belfast,Accident & Emergency,Acute Services,11,10,1,0,0,,--
31-Mar-08,Belfast,Anaesthetics,Acute Services,22,18,3,0,0,,--
31-Mar-08,Belfast,Pain Management,Acute Services,159,101,86,0,0,,--
31-Mar-08,Belfast,General Medicine,Acute Services,295,230,161,0,0,,--
31-Mar-08,Belfast,Gastroenterology,Acute Services,444,439,200,0,0,,--
31-Mar-08,Belfast,Endocrinology,Acute Services,18,0,0,0,0,,--
31-Mar-08,Belfast,Cardiology,Acute Services,166,135,30,0,0,,--
31-Mar-08,Belfast,Dermatology,Acute Services,29,28,10,0,0,,--
31-Mar-08,Belfast,Thoracic Medicine,Acute Services,0,5,0,0,0,,--
31-Mar-08,Belfast,Nephrology,Acute Services,23,20,5,0,0,,--
31-Mar-08,Belfast,Neurology,Acute Services,32,5,0,0,0,,--
31-Mar-08,Belfast,Rheumatology,Acute Services,12,9,4,0,0,,--
31-Mar-08,Belfast,Gynaecology,Acute Services,197,100,50,0,0,,--
31-Mar-08,Belfast,Radiology,Acute Services,2,3,0,0,0,,--
31-Mar-08,Northern,General Surgery,Acute Services,832,717,302,0,0,,--
31-Mar-08,Northern,Urology,Acute Services,95,16,20,0,0,,--
31-Mar-08,Northern,ENT,Acute Services,64,44,14,0,0,,--
31-Mar-08,Northern,Oral Surgery,Acute Services,2,7,1,0,0,,--
31-Mar-08,Northern,Pain Management,Acute Services,118,114,86,0,0,,--
31-Mar-08,Northern,General Medicine,Acute Services,152,83,40,0,0,,--
31-Mar-08,Northern,Gastroenterology,Acute Services,485,372,131,0,0,,--
31-Mar-08,Northern,Cardiology,Acute Services,3,3,0,0,0,,--
31-Mar-08,Northern,Dermatology,Acute Services,32,77,17,0,0,,--
31-Mar-08,Northern,Rheumatology,Acute Services,0,1,0,0,0,,--
31-Mar-08,Northern,Gynaecology,Acute Services,146,164,105,0,0,,--
31-Mar-08,Northern,GP Other,Acute Services,41,5,3,0,0,,--
31-Mar-08,South Eastern,General Surgery,Acute Services,747,451,100,0,0,,--
31-Mar-08,South Eastern,Urology,Acute Services,37,31,3,0,0,,--
31-Mar-08,South Eastern,T & O Surgery,Acute Services,8,3,0,0,0,,--
31-Mar-08,South Eastern,ENT,Acute Services,54,58,7,0,0,,--
31-Mar-08,South Eastern,Ophthalmology,Acute Services,93,113,24,0,0,,--
31-Mar-08,South Eastern,Oral Surgery,Acute Services,23,23,3,0,0,,--
31-Mar-08,South Eastern,Plastic Surgery,Acute Services,118,161,54,0,0,,--
31-Mar-08,South Eastern,Paediatric Surgery,Acute Services,48,32,12,0,0,,--
31-Mar-08,South Eastern,Pain Management,Acute Services,12,16,0,0,0,,--
31-Mar-08,South Eastern,General Medicine,Acute Services,376,254,10,0,0,,--
31-Mar-08,South Eastern,Haematology (Clinical),Acute Services,2,0,0,0,0,,--
31-Mar-08,South Eastern,Cardiology,Acute Services,20,6,0,0,0,,--
31-Mar-08,South Eastern,Dermatology,Acute Services,44,27,3,0,0,,--
31-Mar-08,South Eastern,Thoracic Medicine,Acute Services,1,0,0,0,0,,--
31-Mar-08,South Eastern,Paediatrics,Acute Services,16,3,0,0,0,,--
31-Mar-08,South Eastern,Gynaecology,Acute Services,166,123,22,0,0,,--
31-Mar-08,South Eastern,GP Other,Acute Services,17,1,0,0,0,,--
31-Mar-08,South Eastern,Clinical Oncology,Acute Services,1,1,0,0,0,,--
31-Mar-08,South Eastern,Geriatric Medicine,Elderly Care,18,1,1,0,0,,--
31-Mar-08,Southern,General Surgery,Acute Services,513,610,368,0,0,,--
31-Mar-08,Southern,Urology,Acute Services,115,170,119,0,0,,--
31-Mar-08,Southern,T & O Surgery,Acute Services,6,21,11,0,0,,--
31-Mar-08,Southern,ENT,Acute Services,92,105,70,0,0,,--
31-Mar-08,Southern,Ophthalmology,Acute Services,68,63,36,0,0,,--
31-Mar-08,Southern,Oral Surgery,Acute Services,10,25,8,0,0,,--
31-Mar-08,Southern,Paediatric Dentistry,Acute Services,11,6,0,0,0,,--
31-Mar-08,Southern,Pain Management,Acute Services,21,30,38,0,0,,--
31-Mar-08,Southern,General Medicine,Acute Services,45,40,9,0,0,,--
31-Mar-08,Southern,Gastroenterology,Acute Services,174,173,73,0,0,,--
31-Mar-08,Southern,Haematology (Clinical),Acute Services,32,2,0,0,0,,--
31-Mar-08,Southern,Cardiology,Acute Services,155,112,106,0,0,,--
31-Mar-08,Southern,Dermatology,Acute Services,27,36,10,0,0,,--
31-Mar-08,Southern,Thoracic Medicine,Acute Services,9,2,0,0,0,,--
31-Mar-08,Southern,Neurology,Acute Services,0,1,1,0,0,,--
31-Mar-08,Southern,Rheumatology,Acute Services,125,161,116,0,0,,--
31-Mar-08,Southern,Paediatrics,Acute Services,1,0,0,0,0,,--
31-Mar-08,Southern,Gynaecology,Acute Services,174,134,69,0,0,,--
31-Mar-08,Southern,GP Other,Acute Services,70,7,1,0,0,,--
31-Mar-08,Southern,Clinical Oncology,Acute Services,6,0,0,0,0,,--
31-Mar-08,Western,General Surgery,Acute Services,535,375,129,0,0,,--
31-Mar-08,Western,Urology,Acute Services,110,62,14,0,0,,--
31-Mar-08,Western,T & O Surgery,Acute Services,65,74,40,0,0,,--
31-Mar-08,Western,ENT,Acute Services,88,37,8,0,0,,--
31-Mar-08,Western,Ophthalmology,Acute Services,280,272,89,0,0,,--
31-Mar-08,Western,Oral Surgery,Acute Services,77,52,5,0,0,,--
31-Mar-08,Western,Pain Management,Acute Services,53,38,20,0,0,,--
31-Mar-08,Western,General Medicine,Acute Services,400,503,199,0,0,,--
31-Mar-08,Western,Cardiology,Acute Services,49,21,6,0,0,,--
31-Mar-08,Western,Paediatrics,Acute Services,3,1,1,0,0,,--
31-Mar-08,Western,Gynaecology,Acute Services,163,149,57,0,0,,--
31-Mar-08,Western,GP Other,Acute Services,45,6,0,0,0,,--
30-Jun-08,Belfast,General Surgery,Acute Services,330,198,81,0,0,,--
30-Jun-08,Belfast,Urology,Acute Services,556,249,60,0,0,,--
30-Jun-08,Belfast,T & O Surgery,Acute Services,318,235,66,10,0,,--
30-Jun-08,Belfast,ENT,Acute Services,173,110,13,0,0,,--
30-Jun-08,Belfast,Ophthalmology,Acute Services,"1,036","1,048",460,0,0,,--
