area_code,area,item_code,item,element_code,element,unit,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
23,Belize,176,"Beans, dry",5419,Yield,hg/ha,8235,7798,5751,8994,7715,7997,7617,8491,6634,7659,8173,8168,10974,7604,7993
23,Belize,176,"Beans, dry",5510,Production,tonnes,5225,5804,3738,5558,3997,4798,4220,4585,3680,4724,6610,5528,9203,7704,7063
23,Belize,176,"Beans, dry",5525,Seed,tonnes,298,260,247,207,240,222,216,222,247,248,271,335,405,408,
19,Bolivia (Plurinational State of),176,"Beans, dry",5312,Area harvested,ha,13350,13500,19421,27042,28371,27303,26984,29400,25781,29821,58587,41844,62524,76153,69741
19,Bolivia (Plurinational State of),176,"Beans, dry",5419,Yield,hg/ha,9963,10074,10066,12751,10981,12543,13193,13333,14076,12918,13091,19707,9554,10269,9891
19,Bolivia (Plurinational State of),176,"Beans, dry",5510,Production,tonnes,13300,13600,19550,34482,31153,34247,35600,39200,36289,38522,76697,82464,59735,78200,68984
19,Bolivia (Plurinational State of),176,"Beans, dry",5525,Seed,tonnes,945,1359,1893,1986,1911,1889,2058,1805,2087,4101,2929,3738,4225,4225,
21,Brazil,176,"Beans, dry",5312,Area harvested,ha,4332314,3449610,4140530,4090568,3978660,3748656,4034383,3788280,3781908,4099991,3423646,3673162,2709485,2813506,3185745
21,Brazil,176,"Beans, dry",5419,Yield,hg/ha,7013,7112,7401,8072,7457,8061,8571,8366,9152,8504,9227,9353,10315,10281,10342
21,Brazil,176,"Beans, dry",5510,Production,tonnes,3038238,2453420,3064230,3302038,2967007,3021641,3457744,3169360,3461194,3486763,3158905,3435366,2794854,2892599,3294586
21,Brazil,176,"Beans, dry",5525,Seed,tonnes,155163,172872,175128,173031,158634,169739,159036,158701,171107,146222,156317,127313,121652,132823,
33,Canada,176,"Beans, dry",5312,Area harvested,ha,158400,170200,214900,161700,123000,168100,176300,152600,125500,114300,127200,74500,120700,85000,119700
33,Canada,176,"Beans, dry",5419,Yield,hg/ha,16503,16992,19218,21521,17732,18917,21123,18132,21211,19580,19945,21812,22734,24224,22824
33,Canada,176,"Beans, dry",5510,Production,tonnes,261400,289200,413000,348000,218100,318000,372400,276700,266200,223800,253700,162500,274400,205900,273200
33,Canada,176,"Beans, dry",5525,Seed,tonnes,12551,15750,11319,11039,13097,12488,10738,9002,8491,9527,9000,8500,6300,6300,
40,Chile,176,"Beans, dry",5312,Area harvested,ha,31386,35620,28190,25870,26532,23542,25650,11179,11955,16709,13512,12532,6428,11050,14670
40,Chile,176,"Beans, dry",5419,Yield,hg/ha,14106,16970,15978,18519,18374,18961,19595,16916,17082,16994,17332,19256,17500,17188,12335
40,Chile,176,"Beans, dry",5510,Production,tonnes,44274,60447,45043,47909,48751,44637,50262,18910,20421,28395,23420,24131,11249,18993,18095
40,Chile,176,"Beans, dry",5525,Seed,tonnes,4274,3383,3104,3184,2825,3078,1341,1435,2005,1621,1504,771,1326,1326,
44,Colombia,176,"Beans, dry",5312,Area harvested,ha,115739,115556,109327,114854,113650,124611,120577,130656,131714,123085,118154,115542,117425,121619,121698
44,Colombia,176,"Beans, dry",5419,Yield,hg/ha,10762,10745,10713,10876,11192,11543,11322,11958,12215,11944,11563,11223,11780,11781,12253
44,Colombia,176,"Beans, dry",5510,Production,tonnes,124559,124166,117123,124920,127194,143834,136514,156236,160883,147017,136626,129672,138324,143281,149112
44,Colombia,176,"Beans, dry",5525,Seed,tonnes,7511,7106,7466,7387,8100,7838,8493,8561,8001,7680,7510,7633,7905,7905,
48,Costa Rica,176,"Beans, dry",5312,Area harvested,ha,30827,23312,22088,20847,16347,16349,14035,12017,11311,17234,20332,22070,21549,20724,20970
48,Costa Rica,176,"Beans, dry",5419,Yield,hg/ha,5267,6618,5743,7235,6407,6179,7919,7021,6907,5176,6310,7120,6622,7581,7771
48,Costa Rica,176,"Beans, dry",5510,Production,tonnes,16236,15429,12685,15083,10474,10102,11114,8437,7812,8920,12830,15713,14269,15710,16295
48,Costa Rica,176,"Beans, dry",5525,Seed,tonnes,932,884,834,654,654,561,481,452,689,813,883,862,829,828,
49,Cuba,176,"Beans, dry",5312,Area harvested,ha,105722,103249,100227,106779,112201,94821,76740,83793,95306,150584,112712,123914,123434,119775,129911
49,Cuba,176,"Beans, dry",5419,Yield,hg/ha,10055,9599,10706,11894,11845,11200,9200,11600,10199,7358,7137,10733,10297,10837,10434
49,Cuba,176,"Beans, dry",5510,Production,tonnes,106300,99109,107300,127000,132900,106200,70600,97200,97200,110800,80439,133000,127100,129800,135545
49,Cuba,176,"Beans, dry",5525,Seed,tonnes,3097,3007,1600,3600,3000,2800,2800,3100,2300,2000,1900,2400,5989,5989,
56,Dominican Republic,176,"Beans, dry",5312,Area harvested,ha,40797,40344,44394,37044,30576,32523,34907,33690,29582,33745,36585,38498,36119,39320,40231
56,Dominican Republic,176,"Beans, dry",5419,Yield,hg/ha,5404,7500,6614,7836,7461,6979,8299,8468,7186,9069,9019,8932,8968,10271,9283
56,Dominican Republic,176,"Beans, dry",5510,Production,tonnes,22045,30260,29361,29028,22813,22699,28968,28528,21257,30603,32995,34385,32391,40388,37346
56,Dominican Republic,176,"Beans, dry",5525,Seed,tonnes,1614,1776,1482,1223,1301,1396,1348,1183,1350,1463,1540,1445,1573,1573,
58,Ecuador,176,"Beans, dry",5312,Area harvested,ha,47737,53533,61891,59391,52263,62796,54613,49070,45349,45193,47359,54172,35109,32960,26600
58,Ecuador,176,"Beans, dry",5419,Yield,hg/ha,5422,5567,2896,2627,3368,3740,3283,2508,3224,2484,3092,2393,2846,3263,4718
58,Ecuador,176,"Beans, dry",5510,Production,tonnes,25882,29804,17922,15601,17603,23487,17930,12306,14622,11224,14644,12966,9990,10755,12550
58,Ecuador,176,"Beans, dry",5525,Seed,tonnes,1400,4765,7845,7450,2573,2171,2049,2132,1873,2079,2161,2161,2161,2161,
60,El Salvador,176,"Beans, dry",5312,Area harvested,ha,79030,85179,83203,83878,87043,85556,87379,81248,107933,104062,102507,97625,116703,119883,121477
60,El Salvador,176,"Beans, dry",5419,Yield,hg/ha,8625,8797,9933,9953,9685,7610,10385,8761,8825,7698,6955,6641,9238,9827,9944
60,El Salvador,176,"Beans, dry",5510,Production,tonnes,68163,74934,82648,83484,84300,65110,90742,71181,95255,80110,71294,64835,107811,117807,120795
60,El Salvador,176,"Beans, dry",5525,Seed,tonnes,3918,3827,3858,4004,5661,4019,5426,5938,7183,4715,4491,5971,10900,4347,
86,Grenada,176,"Beans, dry",5312,Area harvested,ha,95,96,96,96,96,96,96,100,98,100,102,103,100,105,102
86,Grenada,176,"Beans, dry",5419,Yield,hg/ha,10000,10202,10241,10298,10376,10469,10549,10000,10919,11231,11536,11825,13000,12381,12324
86,Grenada,176,"Beans, dry",5510,Production,tonnes,95,98,99,99,100,101,101,100,107,112,117,122,130,130,126
86,Grenada,176,"Beans, dry",5525,Seed,tonnes,2,2,2,2,2,1,2,2,2,2,2,2,2,2,
89,Guatemala,176,"Beans, dry",5312,Area harvested,ha,127400,128800,130900,130900,135000,134036,247822,223601,224287,230576,235317,238141,241399,246361,250414
89,Guatemala,176,"Beans, dry",5419,Yield,hg/ha,7144,7349,7233,7233,7193,6228,5731,6984,4740,8371,8345,8395,9105,9254,9386
89,Guatemala,176,"Beans, dry",5510,Production,tonnes,91017,94656,94683,94684,97105,83482,142024,156169,106323,193016,196377,199912,219788,227985,235029
89,Guatemala,176,"Beans, dry",5525,Seed,tonnes,5925,6021,6021,6210,6166,6210,10565,11617,7909,14358,14608,14871,15000,15200,
93,Haiti,176,"Beans, dry",5312,Area harvested,ha,51000,50700,50000,53800,52300,61500,61409,108000,100000,118757,142317,145960,159587,174670,156276
93,Haiti,176,"Beans, dry",5419,Yield,hg/ha,6500,6489,6500,6506,6501,6504,6514,6481,6500,6459,6469,6476,6464,6451,6438
93,Haiti,176,"Beans, dry",5510,Production,tonnes,33150,32900,32500,35000,34000,40000,40000,70000,65000,76703,92070,94527,103150,112677,100613
93,Haiti,176,"Beans, dry",5525,Seed,tonnes,2028,2000,2152,2092,2460,2158,4320,4000,4090,4800,4400,3680,5480,5480,
95,Honduras,176,"Beans, dry",5312,Area harvested,ha,120706,76387,139643,104216,103523,117806,77274,79503,88050,104059,97423,106740,111480,130150,132659
95,Honduras,176,"Beans, dry",5419,Yield,hg/ha,7040,7754,6296,6712,7607,7335,7859,8593,7609,6788,8579,8308,8180,7979,7976
95,Honduras,176,"Beans, dry",5510,Production,tonnes,84980,59229,87919,69950,78750,86406,60731,68315,66996,70633,83577,88681,91195,103841,105812
95,Honduras,176,"Beans, dry",5525,Seed,tonnes,3741,6450,5045,5053,5633,3870,3144,3251,4775,3976,3872,5332,6020,6450,
109,Jamaica,176,"Beans, dry",5312,Area harvested,ha,281,259,221,224,206,245,283,236,228,282,116,128,141,135,136
109,Jamaica,176,"Beans, dry",5419,Yield,hg/ha,9502,10154,9864,10179,10243,10490,10636,10508,10351,10496,10000,10547,10355,10519,10147
109,Jamaica,176,"Beans, dry",5510,Production,tonnes,267,263,218,228,211,257,301,248,236,296,116,135,146,142,138
109,Jamaica,176,"Beans, dry",5525,Seed,tonnes,18,15,18,18,17,20,17,16,20,8,9,10,9,9,
138,Mexico,176,"Beans, dry",5312,Area harvested,ha,1502818,1698580,2054360,1904100,1678400,1261221,1723219,1489218,1505690,1205310,1630224,894972,1558992,1754843,1680897
138,Mexico,176,"Beans, dry",5419,Yield,hg/ha,5908,6258,7540,7431,6932,6556,8042,6674,7457,8640,7093,6344,6933,7377,7579
138,Mexico,176,"Beans, dry",5510,Production,tonnes,887868,1062970,1549090,1414900,1163400,826892,1385784,993943,1122720,1041350,1156251,567779,1080857,1294634,1273957
138,Mexico,176,"Beans, dry",5525,Seed,tonnes,58575,66843,61212,54678,52381,54290,50654,48930,50300,56615,45181,51015,54939,55500,
157,Nicaragua,176,"Beans, dry",5312,Area harvested,ha,222598,230100,249498,289067,231648,270255,228518,231558,239165,248592,216490,302827,294925,281736,237230
157,Nicaragua,176,"Beans, dry",5419,Yield,hg/ha,7780,7685,7894,7968,7479,7841,7865,7361,7386,8587,6967,7658,8133,9328,7739
157,Nicaragua,176,"Beans, dry",5510,Production,tonnes,173177,176832,196943,230338,173240,211907,179735,170448,176655,213464,150837,231910,239864,262809,183600
157,Nicaragua,176,"Beans, dry",5525,Seed,tonnes,8284,8982,10406,8339,9729,8227,8336,8610,8949,7794,10902,10617,10143,10152,
166,Panama,176,"Beans, dry",5312,Area harvested,ha,10490,10490,11130,12810,12980,12380,9860,9550,8830,8272,8272,8406,13090,9710,8350
166,Panama,176,"Beans, dry",5419,Yield,hg/ha,4075,3867,3916,3235,3200,3468,4810,3903,4277,3787,4149,3869,3458,4671,5128
166,Panama,176,"Beans, dry",5510,Production,tonnes,4275,4056,4358,4144,4153,4294,4743,3727,3777,3133,3432,3252,4527,4536,4282
166,Panama,176,"Beans, dry",5525,Seed,tonnes,173,162,174,166,166,172,190,149,151,125,137,130,181,180,
169,Paraguay,176,"Beans, dry",5312,Area harvested,ha,54504,62505,65970,73205,73500,75000,85000,85000,55424,61400,56765,61977,62500,70000,70000
169,Paraguay,176,"Beans, dry",5419,Yield,hg/ha,6720,8433,8180,8874,8870,8933,8235,8235,8052,7000,8592,8592,4230,8000,8300
169,Paraguay,176,"Beans, dry",5510,Production,tonnes,36624,52708,53961,64961,65195,67000,70000,70000,44628,42980,48775,53253,26438,56000,58100
169,Paraguay,176,"Beans, dry",5525,Seed,tonnes,3750,3958,4392,4410,4500,5100,5100,3325,3684,3406,3719,3750,4200,4200,
170,Peru,176,"Beans, dry",5312,Area harvested,ha,75806,64231,66526,58133,57557,67413,73768,75110,77166,83800,81219,78918,82119,83172,76770
170,Peru,176,"Beans, dry",5419,Yield,hg/ha,9210,9541,9383,10183,10168,10631,11253,10889,11164,11767,11421,11132,11261,11371,11660
170,Peru,176,"Beans, dry",5510,Production,tonnes,69815,61280,62424,59196,58524,71667,83008,81788,86145,98608,92758,87853,92476,94574,89517
170,Peru,176,"Beans, dry",5525,Seed,tonnes,5025,4560,4475,3898,3901,3115,4606,4630,5028,4873,4735,4901,4990,4990,
177,Puerto Rico,176,"Beans, dry",5312,Area harvested,ha,82,52,48,19,19,16,20,25,34,42,49,52,55,57,60
177,Puerto Rico,176,"Beans, dry",5419,Yield,hg/ha,57195,57115,56875,5789,6316,7500,7500,8000,9215,8138,6713,6214,5851,5590,5407
177,Puerto Rico,176,"Beans, dry",5510,Production,tonnes,469,297,273,11,12,12,15,20,32,35,33,32,32,32,32
231,United States of America,176,"Beans, dry",5312,Area harvested,ha,654181,505863,703715,545077,490606,617800,619823,598617,584860,592061,745720,472633,684090,532690,667170
231,United States of America,176,"Beans, dry",5419,Yield,hg/ha,18404,17584,19538,18717,16404,19512,17677,19387,19822,19429,19343,19089,21168,20927,19655
231,United States of America,176,"Beans, dry",5510,Production,tonnes,1203970,889495,1374929,1020220,804809,1205467,1095652,1160561,1159290,1150310,1442470,902196,1448090,1114750,1311340
231,United States of America,176,"Beans, dry",5525,Seed,tonnes,30800,39000,30500,30000,35000,33000,33000,33000,33000,33000,33000,47000,37000,35000,
234,Uruguay,176,"Beans, dry",5312,Area harvested,ha,5200,5300,5350,5400,5350,5400,5350,5500,5600,5650,5583,5550,5500,5200,5100
234,Uruguay,176,"Beans, dry",5419,Yield,hg/ha,6250,6226,6262,6296,6262,6481,6262,6273,6250,6283,6302,6313,6364,6346,6275
234,Uruguay,176,"Beans, dry",5510,Production,tonnes,3250,3300,3350,3400,3350,3500,3350,3450,3500,3550,3518,3504,3500,3300,3200
234,Uruguay,176,"Beans, dry",5525,Seed,tonnes,345,348,351,348,351,348,358,360,367,354,326,358,338,338,
236,Venezuela (Bolivarian Republic of),176,"Beans, dry",5312,Area harvested,ha,31183,27690,22150,34843,47326,52531,22397,45165,59338,80000,49610,52142,36731,19094,17225
236,Venezuela (Bolivarian Republic of),176,"Beans, dry",5419,Yield,hg/ha,8152,7970,7896,8081,8361,8220,8506,8284,8143,8118,8238,8180,6907,8743,7838
236,Venezuela (Bolivarian Republic of),176,"Beans, dry",5510,Production,tonnes,25421,22068,17489,28158,39570,43181,19051,37415,48320,64946,40871,42651,25371,16693,13501
236,Venezuela (Bolivarian Republic of),176,"Beans, dry",5525,Seed,tonnes,648,746,1132,1466,1091,750,810,644,366,1198,1991,1964,2019,2100,
8,Antigua and Barbuda,414,"Beans, green",5312,Area harvested,ha,20,21,22,24,25,24,25,24,24,24,22,24,25,25,26
8,Antigua and Barbuda,414,"Beans, green",5419,Yield,hg/ha,35000,36167,36364,37500,38000,38164,38388,38561,38707,38887,39063,39237,40000,39469,38202
8,Antigua and Barbuda,414,"Beans, green",5510,Production,tonnes,70,75,80,90,95,91,96,92,92,92,87,94,100,98,100
9,Argentina,414,"Beans, green",5312,Area harvested,ha,600,633,650,643,633,633,650,700,757,817,882,949,1050,1148,898
9,Argentina,414,"Beans, green",5419,Yield,hg/ha,66667,64508,63077,63491,64398,64772,63846,60000,55202,50397,45374,40203,34286,29651,45003
9,Argentina,414,"Beans, green",5510,Production,tonnes,4000,4083,4100,4080,4076,4100,4150,4200,4181,4118,4000,3817,3600,3403,4040
23,Belize,414,"Beans, green",5312,Area harvested,ha,,,,,,,,,,,140,130,120,120,116
23,Belize,414,"Beans, green",5419,Yield,hg/ha,,,,,,,,,,,35714,30769,25000,25000,22760
23,Belize,414,"Beans, green",5510,Production,tonnes,,,,,,,,,,,500,400,300,300,265
17,Bermuda,414,"Beans, green",5312,Area harvested,ha,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5
17,Bermuda,414,"Beans, green",5419,Yield,hg/ha,40000,39476,40000,40000,39966,40000,40000,40000,40000,40971,41364,41723,44000,42447,42404
17,Bermuda,414,"Beans, green",5510,Production,tonnes,20,20,20,20,20,20,20,20,24,25,24,23,22,21,23
19,Bolivia (Plurinational State of),414,"Beans, green",5312,Area harvested,ha,168,174,182,185,188,191,195,198,202,206,206,324,428,436,448
19,Bolivia (Plurinational State of),414,"Beans, green",5419,Yield,hg/ha,18333,18333,18407,18378,18617,18743,18821,18990,19109,19029,20676,22640,24946,27355,27809
19,Bolivia (Plurinational State of),414,"Beans, green",5510,Production,tonnes,308,319,335,340,350,358,367,376,386,392,425,733,1068,1192,1247
33,Canada,414,"Beans, green",5312,Area harvested,ha,8958,9553,10686,10969,10698,9079,7071,8632,8126,8802,8292,7452,9168,8447,7890
33,Canada,414,"Beans, green",5419,Yield,hg/ha,61793,42519,52111,60137,58425,61375,74813,57805,63096,55511,57974,58910,65731,62496,73065
33,Canada,414,"Beans, green",5510,Production,tonnes,55354,40618,55686,65964,62503,55722,52900,49897,51272,48861,48072,43900,60262,52790,57648
40,Chile,414,"Beans, green",5312,Area harvested,ha,5338,5350,5300,5198,5300,5400,5500,2838,2800,2890,3172,3195,2445,2251,2623
40,Chile,414,"Beans, green",5419,Yield,hg/ha,59948,60748,60377,62524,60377,61111,61818,121564,121429,83700,119787,123347,143138,139991,141508
40,Chile,414,"Beans, green",5510,Production,tonnes,32000,32500,32000,32500,32000,33000,34000,34500,34000,24191,38000,39409,35000,31512,37117
