id,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,scheduled_delivery_date,delivered_to_client_date,product_group,sub_classification,vendor,item_id,item_description,brand,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,weight_kilograms,freight_cost_usd,line_item_insurance_usd
115,Vietnam,PMO - US,Direct Drop,EXW,Air,15-Oct-07,15-Oct-07,ARV,Pediatric,Aurobindo Pharma Limited,SKU0001,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Generic,240,1000,1920,1.92,0.01,"Aurobindo Unit III, India",941,4193.49,3.07
116,Vietnam,PMO - US,Direct Drop,FCA,Air,27-Aug-07,27-Aug-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),SKU0008,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Aluvia,120,500,41095,82.19,0.68,ABBVIE Ludwigshafen Germany,117,1767.38,65.75
130,Haiti,PMO - US,Direct Drop,EXW,Air,13-Aug-07,21-Aug-07,HRDT,HIV test,"Orgenics, Ltd",SKU0017,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,100,750,53992.5,71.99,0.72,Inverness Japan,171,3518.38,86.39
134,Haiti,PMO - US,Direct Drop,EXW,Air,25-Aug-07,25-Aug-07,HRDT,HIV test,Orasure Technologies Inc.,SKU0018,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",OraQuick,100,25,8750,350,3.5,"Pacific Biotech, Thailand",60,3097.85,14
138,Tanzania,PMO - US,Direct Drop,EXW,Air,16-Oct-07,16-Oct-07,HRDT,HIV test,"Standard Diagnostics, Inc.",SKU0019,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Bioline,25,10000,200000,20,0.8,"Standard Diagnostics, Korea",3335,27869.74,320
139,Tanzania,PMO - US,Direct Drop,EXW,Air,22-Nov-07,22-Nov-07,HRDT,HIV test,"Standard Diagnostics, Inc.",SKU0019,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Bioline,25,10000,200000,20,0.8,"Standard Diagnostics, Korea",3335,28461.1,320
140,Tanzania,PMO - US,Direct Drop,EXW,Air,22-Nov-07,22-Nov-07,HRDT,HIV test,"Standard Diagnostics, Inc.",SKU0019,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Bioline,25,10000,200000,20,0.8,"Standard Diagnostics, Korea",3335,28359.8,320
161,Ethiopia,PMO - US,Direct Drop,EXW,Air,20-Nov-07,20-Nov-07,ARV,Adult,Aurobindo Pharma Limited,SKU0004,"Stavudine 30mg, capsules, 60 Caps",Generic,60,64000,99200,1.55,0.03,"Aurobindo Unit III, India",4228,12237.61,158.72
176,Nigeria,PMO - US,Direct Drop,EXW,Air,3-Oct-07,3-Oct-07,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",SKU0016,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Stat-Pak,20,10000,270000,27,1.35,Chembio Diagnostics Sys. Inc.,3263,20885.78,432
262,South Africa,PMO - US,Direct Drop,DDP,,29-Jan-08,29-Jan-08,ARV,Pediatric,"JSI R&T INSTITUTE, INC.",SKU0020,"Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml",Retrovir,200,40,317.6,7.94,0.04,GSK Mississauga (Canada),Weight Captured Separately,Freight Included in Commodity Cost,0.51
269,Vietnam,PMO - US,Direct Drop,EXW,Air,21-Jan-08,21-Jan-08,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.",SKU0021,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Viread,30,1000,17000,17,0.57,Gilead(Nycomed) Oranienburg DE,76,2282.57,27.2
270,Vietnam,PMO - US,Direct Drop,EXW,Air,21-Jan-08,21-Jan-08,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),SKU0014,"Zidovudine 300mg, tablets, 60 Tabs",Generic,60,400,3352,8.38,0.14,"Ranbaxy, Paonta Shahib, India",23,2149.05,5.36
284,Rwanda,PMO - US,Direct Drop,EXW,Air,31-Jan-08,31-Jan-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd",SKU0022,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,100,1500,15,0.01,0,Inverness Japan,99,0.75,0.02
305,Nigeria,PMO - US,Direct Drop,EXW,Air,5-Feb-08,5-Feb-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd",SKU0022,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,100,650,6.5,0.01,0,Inverness Japan,Weight Captured Separately,Invoiced Separately,0.01
343,South Africa,PMO - US,Direct Drop,DDP,,21-Jan-08,4-Jan-08,ARV,Pediatric,"JSI R&T INSTITUTE, INC.",SKU0023,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Zerit,200,200,340,1.7,0.01,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,0.54
361,Haiti,PMO - US,Direct Drop,EXW,Air,18-Feb-08,18-Feb-08,HRDT,HIV test,"Trinity Biotech, Plc",SKU0024,"HIV 1/2, Capillus HIV Kit, 100 Tests",Capillus,100,2,278,139,1.39,"Trinity Biotech, Plc",Weight Captured Separately,Invoiced Separately,0.44
391,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,17-Jun-08,17-Jun-08,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),SKU0025,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",Genie,40,476,36176,76,1.9,Bio-Rad Laboratories,509,5446.51,57.88
392,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,19-Mar-09,19-Mar-09,HRDT,HIV test,"Standard Diagnostics, Inc.",SKU0019,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Bioline,25,659,13180,20,0.8,"Standard Diagnostics, Korea",206,2656.12,25.83
398,Guyana,PMO - US,Direct Drop,EXW,Air,9-Apr-08,1-Apr-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd",SKU0022,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,100,240,2.4,0.01,0,Inverness Japan,Weight Captured Separately,Invoiced Separately,0
399,Guyana,PMO - US,Direct Drop,EXW,Air,28-Jul-08,28-Jul-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd",SKU0022,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,100,213,2.13,0.01,0,Inverness Japan,14,360,0
400,Ethiopia,PMO - US,Direct Drop,DDP,,11-Mar-08,11-Mar-08,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,SKU0024,"HIV 1/2, Capillus HIV Kit, 100 Tests",Capillus,100,63,13399.25,212.69,2.13,"Trinity Biotech, Plc",Weight Captured Separately,Freight Included in Commodity Cost,21.44
410,Zimbabwe,PMO - US,Direct Drop,EXW,Air,17-Nov-08,17-Nov-08,HRDT,HIV test,"Orgenics, Ltd",SKU0017,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,100,1634,117631.66,71.99,0.72,Inverness Japan,373,4112.46,188.21
411,Nigeria,PMO - US,Direct Drop,EXW,Air,17-Apr-08,17-Apr-08,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",SKU0016,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",Stat-Pak,20,1425,38475,27,1.35,Chembio Diagnostics Sys. Inc.,483,5468.88,61.56
414,Namibia,PMO - US,Direct Drop,EXW,Air,4-Jun-08,4-Jun-08,HRDT,HIV test,"Orgenics, Ltd",SKU0017,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,100,142,10222.58,71.99,0.72,Inverness Japan,33,1715.17,16.36
420,Vietnam,PMO - US,Direct Drop,EXW,Air,3-Jun-08,3-Jun-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),SKU0026,"Efavirenz 600mg, tablets, 30 Tabs",Generic,30,8400,96432,11.48,0.38,Mylan (formerly Matrix) Nashik,654,4051.34,154.29
422,South Africa,PMO - US,Direct Drop,DDP,Truck,24-Apr-08,24-Apr-08,ARV,Adult,S. BUYS WHOLESALER,SKU0027,"Saquinavir 200mg [Invirase], capsules, 270 Caps",Invirase,270,6,405.06,67.51,0.25,Roche Basel,Weight Captured Separately,Freight Included in Commodity Cost,0.65
423,South Africa,PMO - US,Direct Drop,DDP,Truck,24-Apr-08,24-Apr-08,ARV,Pediatric,S. BUYS WHOLESALER,SKU0023,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Zerit,200,600,870,1.45,0.01,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,1.39
438,Vietnam,PMO - US,Direct Drop,CIP,Air,12-Jul-08,12-Jul-08,ARV,Pediatric,BRISTOL-MYERS SQUIBB,SKU0028,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Videx,60,400,2800,7,0.12,"BMS Meymac, France",81,2211.05,4.48
459,South Africa,PMO - US,Direct Drop,DDP,,25-Apr-08,7-Apr-08,ARV,Pediatric,S. BUYS WHOLESALER,SKU0028,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Videx,60,6,77.1,12.85,0.21,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,0.12
464,Nigeria,PMO - US,Direct Drop,EXW,Air,9-Jul-08,9-Jul-08,HRDT,HIV test,"Orgenics, Ltd",SKU0017,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,100,5498,439785.02,79.99,0.8,Inverness Japan,1251,16090.22,703.66
465,Nigeria,PMO - US,Direct Drop,EXW,Air,9-Jul-08,4-Jul-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd",SKU0022,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,100,5498,54.98,0.01,0,Inverness Japan,Weight Captured Separately,Invoiced Separately,0.09
466,Ethiopia,PMO - US,Direct Drop,DDP,Air,9-May-08,9-May-08,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,SKU0009,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,20,15,691.42,46.09,2.3,"Trinity Biotech, Plc",Weight Captured Separately,Freight Included in Commodity Cost,1.11
530,Vietnam,PMO - US,Direct Drop,EXW,Air,19-Sep-08,19-Sep-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),SKU0029,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Generic,30,1344,18359.04,13.66,0.46,Mylan (formerly Matrix) Nashik,1537,13507.92,29.37
531,South Africa,PMO - US,Direct Drop,DDP,Truck,20-Aug-08,20-Aug-08,ARV,Adult,S. BUYS WHOLESALER,SKU0030,"Stavudine 20mg [Zerit], capsules, 60 Caps",Zerit,60,20,103.4,5.17,0.09,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,0.2
532,South Africa,PMO - US,Direct Drop,DDP,Truck,20-Aug-08,8-May-08,ARV,Adult,S. BUYS WHOLESALER,SKU0031,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Videx EC,30,100,1906,19.06,0.64,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,3.05
533,South Africa,PMO - US,Direct Drop,DDP,Truck,20-Aug-08,8-May-08,ARV,Pediatric,S. BUYS WHOLESALER,SKU0023,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Zerit,200,670,1025.1,1.53,0.01,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,1.64
535,Tanzania,PMO - US,Direct Drop,CIP,Air,2-Sep-08,2-Sep-08,ARV,Adult,BRISTOL-MYERS SQUIBB,SKU0032,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Videx EC,30,2597,61470.99,23.67,0.79,"BMS Meymac, France",117,645.1,98.35
543,Haiti,PMO - US,Direct Drop,EXW,Air,30-Sep-08,30-Sep-08,HRDT,HIV test,Orasure Technologies Inc.,SKU0018,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",OraQuick,100,28,9800,350,3.5,"Pacific Biotech, Thailand",109,782.13,15.68
551,Haiti,PMO - US,Direct Drop,EXW,Air,24-Nov-08,24-Nov-08,HRDT,HIV test,"Trinity Biotech, Plc",SKU0024,"HIV 1/2, Capillus HIV Kit, 100 Tests",Capillus,100,84,11676,139,1.39,"Trinity Biotech, Plc",54,871.57,22.88
598,South Africa,PMO - US,Direct Drop,DDP,Truck,12-Jun-08,9-Jun-08,ARV,Adult,S. BUYS WHOLESALER,SKU0033,"Abacavir 300mg [Ziagen], tablets, Blister 6 x 10 Tabs",Ziagen,60,30,1049.4,34.98,0.58,GSK Ware (UK),Weight Captured Separately,Freight Included in Commodity Cost,1.68
610,Vietnam,PMO - US,Direct Drop,EXW,Air,19-Sep-08,19-Sep-08,ARV,Adult,Aurobindo Pharma Limited,SKU0003,"Lamivudine 150mg, tablets, 60 Tabs",Generic,60,38640,92736,2.4,0.04,"Aurobindo Unit III, India",2719,18614.72,148.38
630,Nigeria,PMO - US,Direct Drop,EXW,Air,25-Feb-09,9-Sep-08,ACT,ACT,IDA FOUNDATION,SKU0034,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",Coartem,540,34,1547.68,45.52,0.08,"Novartis Pharma AG, Switzerland",115,1755.87,2.48
637,Vietnam,PMO - US,Direct Drop,EXW,Air,8-Oct-08,8-Oct-08,ARV,Adult,Aurobindo Pharma Limited,SKU0004,"Stavudine 30mg, capsules, 60 Caps",Generic,60,42000,60900,1.45,0.02,"Aurobindo Unit III, India",2600,10179.16,97.44
646,South Africa,PMO - US,Direct Drop,DDP,Truck,10-Jul-08,8-Jul-08,ARV,Pediatric,S. BUYS WHOLESALER,SKU0035,"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",Viramune,240,50,696.5,13.93,0.06,"BI, Ingelheim, Germany",Weight Captured Separately,Freight Included in Commodity Cost,1.11
660,Vietnam,PMO - US,Direct Drop,EXW,Air,27-Nov-08,27-Nov-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),SKU0026,"Efavirenz 600mg, tablets, 30 Tabs",Generic,30,16800,171192,10.19,0.34,Mylan (formerly Matrix) Nashik,1224,4686.88,335.54
668,Guyana,PMO - US,Direct Drop,CIP,Air,15-Aug-08,15-Aug-08,MRDT,Malaria,ZEPHYR BIOMEDICALS,SKU0036,"Malaria Paramax-3 Kit, 25 Tests",Paramax,25,98,3675,37.5,1.5,Not Applicable,34,180,5.88
670,Zambia,PMO - US,Direct Drop,EXW,Air,20-Oct-08,20-Oct-08,HRDT,HIV test,"Orgenics, Ltd",SKU0017,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,100,4500,323955,71.99,0.72,Inverness Japan,1053,11062.05,634.95
712,Namibia,PMO - US,Direct Drop,EXW,Air,18-Sep-08,18-Sep-08,HRDT,HIV test,"Trinity Biotech, Plc",SKU0009,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Uni-Gold,20,10,320,32,1.6,"Trinity Biotech, Plc",Weight Captured Separately,Invoiced Separately,0.51
717,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2-Oct-08,2-Oct-08,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),SKU0025,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",Genie,40,500,38000,76,1.9,Bio-Rad Laboratories,562,11298.13,60.8
719,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,23-Jan-09,23-Jan-09,ACT,ACT,IDA FOUNDATION,SKU0037,"Artesunate+Amodiaquine 50+153mg, tablets, co-blister 6+6 Tabs",Generic,12,25000,9750,0.39,0.03,Ipca Dadra/Nagar Haveli IN,1708,12830.91,19.11
772,Nigeria,PMO - US,Direct Drop,CIP,Air,10-Mar-09,8-Apr-09,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),SKU0038,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Atripla,30,9,453.6,50.4,1.68,"MSD, Haarlem, NL",Weight Captured Separately,Freight Included in Commodity Cost,0.89
791,Namibia,PMO - US,Direct Drop,EXW,Air,29-Oct-08,29-Oct-08,HRDT,HIV test,"Orgenics, Ltd",SKU0017,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",Determine,100,150,10798.5,71.99,0.72,Inverness Japan,46,2698.04,21.17
796,Botswana,PMO - US,Direct Drop,EXW,Air,28-Nov-08,28-Nov-08,HRDT,HIV test - Ancillary,"Trinity Biotech, Plc",SKU0039,"#109436**HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml",Uni-Gold,2,15,450,30,15,"Trinity Biotech, Plc",1,578.01,0.88
797,Zambia,PMO - US,Direct Drop,EXW,Air,23-Jan-09,23-Jan-09,HRDT,HIV test,"Standard Diagnostics, Inc.",SKU0019,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",Bioline,25,319,6380,20,0.8,"Standard Diagnostics, Korea",100,1122.24,12.5
835,South Africa,PMO - US,Direct Drop,DDP,Truck,17-May-09,9-Oct-08,ARV,Adult,S. BUYS WHOLESALER,SKU0021,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Viread,30,80,1830.4,22.88,0.76,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost,3.59
836,South Africa,PMO - US,Direct Drop,DDP,Truck,17-May-09,17-May-09,ARV,Adult,S. BUYS WHOLESALER,SKU0021,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Viread,30,120,2745.6,22.88,0.76,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost,5.38
837,South Africa,PMO - US,Direct Drop,DDP,Truck,17-May-09,9-Oct-08,ARV,Pediatric,S. BUYS WHOLESALER,SKU0023,"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",Zerit,200,600,858,1.43,0.01,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,1.68
838,South Africa,PMO - US,Direct Drop,DDP,Truck,17-May-09,9-Oct-08,ARV,Pediatric,S. BUYS WHOLESALER,SKU0040,"Didanosine 100mg [Videx],chewable tablets, 60 Tabs",Videx,60,7,91.35,13.05,0.22,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,0.18
2947,Vietnam,PMO - US,Direct Drop,EXW,Air,22-Jan-08,22-Jan-08,ARV,Adult,Aurobindo Pharma Limited,SKU0041,"Stavudine 15mg, capsules, 60 Caps",Generic,60,400,600,1.5,0.02,"Aurobindo Unit III, India",83,2426.05,0.96
839,South Africa,PMO - US,Direct Drop,DDP,Truck,17-May-09,9-Oct-08,ARV,Pediatric,S. BUYS WHOLESALER,SKU0042,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Kaletra,300,40,1375.6,34.39,0.11,ABBVIE (Abbott) Logis. UK,Weight Captured Separately,Freight Included in Commodity Cost,2.7
849,Guyana,PMO - US,Direct Drop,CIP,Air,6-Feb-09,6-Feb-09,MRDT,Malaria,ZEPHYR BIOMEDICALS,SKU0036,"Malaria Paramax-3 Kit, 25 Tests",Paramax,25,108,4050,37.5,1.5,Not Applicable,Weight Captured Separately,Freight Included in Commodity Cost,7.94
